Name,Own,Salary,Score,Position,OwnTop100
Zach Randolph,84.3,6300,0.0,PF,
Stanley Johnson,73.6,4900,0.0,SF,
DeMarcus Cousins,55.4,10600,0.0,C,
Ishmael Smith,51.6,7000,0.0,PG,
Nicolas Batum,44.5,7000,0.0,SG,
Derrick Rose,41.4,6900,0.0,PG,
James Harden,29.1,10700,0.0,SG,
Jeff Green,28,5600,0.0,SF,
Markieff Morris,27.9,5800,0.0,PF,
Rodney Hood,27.4,5800,0.0,SG,
Damian Lillard,26.1,9000,0.0,PG,
E'Twaun Moore,22.9,4200,0.0,SG,
Zach LaVine,20.4,4800,0.0,SG,
Kyrie Irving,18.3,7600,0.0,PG,
Kawhi Leonard,17.5,7300,0.0,SF,
Jerami Grant,16.2,5000,0.0,PF,
Anthony Tolliver,13.5,3600,0.0,PF,
Archie Goodwin,12.8,5400,0.0,PG,
Myles Turner,12.6,5700,0.0,PF,
Marco Belinelli,12.1,3900,0.0,SG,
Paul Millsap,11.9,8100,0.0,PF,
Harrison Barnes,11.5,4400,0.0,SF,
Pau Gasol,11.4,9100,0.0,C,
Gorgui Dieng,11.3,6300,0.0,C,
Klay Thompson,8.4,6900,0.0,SG,
Kent Bazemore,7.6,5400,0.0,SF,
C.J. McCollum,7.5,7600,0.0,SG,
Mike Conley,7.4,6700,0.0,PG,
P.J. Tucker,7.2,4900,0.0,SF,
Robert Covington,6.9,4700,0.0,SF,
Reggie Jackson,6.5,6600,0.0,PG,
Norris Cole,4.2,5100,0.0,PG,
Thaddeus Young,4.1,7000,0.0,PF,
Al Horford,4.1,7300,0.0,C,
Rajon Rondo,4,8800,0.0,PG,
Shabazz Muhammad,3.9,3900,0.0,SF,
Paul George,3.4,8700,0.0,SF,
Victor Oladipo,3.1,6500,0.0,SG,
Evan Fournier,3,5000,0.0,SG,
Gordon Hayward,2.7,7900,0.0,SF,
Danny Green,2.7,4200,0.0,SG,
Devin Booker,1.9,5200,0.0,SG,
DeAndre Jordan,1.5,8500,0.0,C,
Rudy Gobert,1.3,7500,0.0,C,
Chris Paul,1,9500,0.0,PG,
Kenneth Faried,0.7,6300,0.0,PF,
Gerald Henderson,0.7,4300,0.0,SG
