PERSON_ID,alpha_AST,alpha_BLK,alpha_STL,alpha_TOV,alpha_OREB,alpha_DREB,alpha_FG2%,alpha_FG3%,alpha_FT%,alpha_FG2A,alpha_FG3A,alpha_FTA,beta_AST,beta_BLK,beta_STL,beta_TOV,beta_OREB,beta_DREB,beta_FG2%,beta_FG3%,beta_FT%,beta_FG2A,beta_FG3A,beta_FTA
203112,18.614678,12.241304,13.790836,15.819822,43.966761,74.294267,51.534015,7.209445,25.93075,94.871826,18.329201,34.762969,481.790805,482.004206,483.325248,482.655601,481.889038,481.973142,43.868685,11.184095,8.907543,481.80492,481.716235,481.919411
203919,14.051133,4.852284,16.438274,14.616351,6.481764,17.231165,36.092789,7.515207,16.837372,46.030393,17.142388,21.160079,180.997262,195.274742,283.658309,238.855977,187.569476,193.196412,45.455473,13.931729,9.36223,181.941634,176.008188,189.601576
203500,39.052272,67.876082,25.697402,60.183478,156.32471,231.436045,172.640696,0.025603,87.627088,295.555711,0.186748,145.789252,1458.94815,1459.197363,1460.740094,1459.958072,1459.062868,1459.161086,123.534977,0.23628,58.250129,1458.964634,1458.861066,1459.098338
201167,98.658286,8.433016,19.591269,58.502443,15.738917,165.051536,216.671332,74.543823,110.025469,448.701764,197.08096,126.110821,1740.558831,1740.558831,1740.558831,1740.558831,1740.558831,1740.558831,232.030432,122.537137,16.085351,1740.558831,1740.558831,1740.558831
201582,25.529002,28.430792,14.118256,33.785836,59.954897,149.61499,109.872838,0.152963,34.511641,210.671119,1.429347,40.702304,637.466118,637.679707,639.001913,638.331676,637.564437,637.648615,101.329623,1.340779,6.266054,637.480245,637.391482,637.594837
202332,37.9418,32.23308,24.816127,35.475693,47.518476,120.639823,83.999302,0.056426,46.355807,165.063898,0.039292,64.945893,516.309329,516.858555,520.258496,518.535039,516.562149,516.778606,82.430898,0.148454,18.783947,516.345657,516.117409,516.64032
200746,74.076211,52.319491,21.102719,72.74978,133.192481,324.005365,370.570485,2.218817,170.377473,732.479235,18.321602,204.961886,1617.519194,1617.519194,1617.519194,1617.519194,1617.519194,1617.519194,361.90875,16.102785,34.584413,1617.519194,1617.519194,1617.519194
1626146,2.271207,3.022443,7.217947,7.859034,3.716516,10.182193,36.366745,2.425142,8.877789,16.836916,1.688749,3.717997,57.448806,81.054241,227.181737,153.108549,68.314868,77.618068,39.193048,6.380459,3.172221,59.010169,49.200204,71.674606
202730,63.820569,37.668077,22.635916,57.6074,131.963107,217.412519,163.862838,0.040564,25.380687,329.625177,0.259421,43.715947,1303.349472,1303.359579,1303.422146,1303.390431,1303.354125,1303.358108,165.787483,0.221904,18.338827,1303.350141,1303.345941,1303.355563
2754,48.920978,14.972131,81.812349,50.876058,80.327161,155.697733,128.879988,11.031522,55.122803,295.222102,29.165151,89.928828,1244.395126,1244.395126,1244.395126,1244.395126,1244.395126,1244.395126,166.342114,18.133629,34.806026,1244.395126,1244.395126,1244.395126
202329,85.451035,45.135963,60.392864,93.812581,78.625257,309.22733,135.306684,83.836068,84.007437,299.423146,239.997479,118.128459,1728.750966,1728.75111,1728.752,1728.751549,1728.751032,1728.751089,164.11682,156.161454,34.121073,1728.750976,1728.750916,1728.751053
