Player ID,Position,Player Name,Team,Opponent,Salary,PPG
263884,PF,Marvin Williams,Hornets,Cavaliers,9800,24.7
263884,SF,Marvin Williams,Hornets,Cavaliers,9800,24.7
462980,PG,Kemba Walker,Hornets,Cavaliers,15950,36.7
340730,PG,Jeremy Lin,Hornets,Cavaliers,8200,22.0
340730,SG,Jeremy Lin,Hornets,Cavaliers,8200,22.0
276755,SG,Courtney Lee,Hornets,Cavaliers,6450,17.0
276755,SF,Courtney Lee,Hornets,Cavaliers,6450,17.0
295923,C,Tyler Hansbrough,Hornets,Cavaliers,5000,6.4
295923,PF,Tyler Hansbrough,Hornets,Cavaliers,5000,6.4
329824,C,Spencer Hawes,Hornets,Cavaliers,7250,15.8
329824,PF,Spencer Hawes,Hornets,Cavaliers,7250,15.8
456451,SG,Nicolas Batum,Hornets,Cavaliers,14950,33.2
456451,SF,Nicolas Batum,Hornets,Cavaliers,14950,33.2
253995,C,Al Jefferson,Hornets,Cavaliers,9000,24.0
253995,PF,Al Jefferson,Hornets,Cavaliers,9000,24.0
603095,SF,Michael Kidd-Gilchrist,Hornets,Cavaliers,9300,23.5
552980,SG,Jeremy Lamb,Hornets,Cavaliers,6150,19.1
552980,SF,Jeremy Lamb,Hornets,Cavaliers,6150,19.1
602028,C,Cody Zeller,Hornets,Cavaliers,9250,19.9
602028,PF,Cody Zeller,Hornets,Cavaliers,9250,19.9
513526,PG,Troy Daniels,Hornets,Cavaliers,5000,8.6
606731,C,Frank Kaminsky,Hornets,Cavaliers,6300,15.7
606731,PF,Frank Kaminsky,Hornets,Cavaliers,6300,15.7
786407,PG,Aaron Harrison,Hornets,Cavaliers,5000,1.7
398424,PG,E'Twaun Moore,Bulls,Wizards,7950,12.5
398424,SG,E'Twaun Moore,Bulls,Wizards,7950,12.5
263220,C,Joakim Noah,Bulls,Wizards,5000,22.5
263220,PF,Joakim Noah,Bulls,Wizards,5000,22.5
399612,PG,Derrick Rose,Bulls,Wizards,13400,26.8
330057,C,Taj Gibson,Bulls,Wizards,8700,20.7
330057,PF,Taj Gibson,Bulls,Wizards,8700,20.7
599809,PF,Nikola Mirotic,Bulls,Wizards,9950,22.6
599809,SF,Nikola Mirotic,Bulls,Wizards,9950,22.6
458730,SG,Jimmy Butler,Bulls,Wizards,14700,37.8
458730,SF,Jimmy Butler,Bulls,Wizards,14700,37.8
168066,SG,Mike Dunleavy,Bulls,Wizards,5350,10.6
168066,SF,Mike Dunleavy,Bulls,Wizards,5350,10.6
3494,C,Pau Gasol,Bulls,Wizards,17400,39.4
3494,PF,Pau Gasol,Bulls,Wizards,17400,39.4
229726,PG,Aaron Brooks,Bulls,Wizards,6500,13.4
395365,SG,Justin Holiday,Bulls,Wizards,5000,5.3
395365,SF,Justin Holiday,Bulls,Wizards,5000,5.3
550991,SG,Tony Snell,Bulls,Wizards,5000,11.5
550991,SF,Tony Snell,Bulls,Wizards,5000,11.5
554804,SF,Doug McDermott,Bulls,Wizards,6750,13.0
550992,C,Cameron Bairstow,Bulls,Wizards,5000,4.2
550992,PF,Cameron Bairstow,Bulls,Wizards,5000,4.2
750703,C,Bobby Portis,Bulls,Wizards,6700,15.3
750703,PF,Bobby Portis,Bulls,Wizards,6700,15.3
839018,C,Cristiano Felicio,Bulls,Wizards,5000,3.7
551768,PG,Kyrie Irving,Cavaliers,Hornets,14050,29.2
551768,SG,Kyrie Irving,Cavaliers,Hornets,14050,29.2
552806,C,Tristan Thompson,Cavaliers,Hornets,10600,21.9
552806,PF,Tristan Thompson,Cavaliers,Hornets,10600,21.9
253997,SG,J.R. Smith,Cavaliers,Hornets,8750,21.8
253997,SF,J.R. Smith,Cavaliers,Hornets,8750,21.8
552679,C,Timofey Mozgov,Cavaliers,Hornets,7000,13.5
65834,PG,Mo Williams,Cavaliers,Hornets,5900,15.5
