Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Russell Westbrook,12200,NO@OKC 08:00PM ET,57.659,OKC
PF,Anthony Davis,10800,NO@OKC 08:00PM ET,48.063,NO
PF,DeMarcus Cousins,10300,Sac@Atl 08:00PM ET,49.107,Sac
SG,James Harden,10100,Por@Hou 08:00PM ET,47.500,Hou
SF,Kevin Durant,9900,NO@OKC 08:00PM ET,46.438,OKC
SF,Paul George,9500,Ind@Phi 07:00PM ET,45.341,Ind
PG,Damian Lillard,8800,Por@Hou 08:00PM ET,43.917,Por
PG,Rajon Rondo,8700,Sac@Atl 08:00PM ET,39.500,Sac
SG,Eric Bledsoe,8600,Chi@Pho 10:30PM ET,41.475,Pho
PG,Kyle Lowry,8300,Tor@Uta 09:00PM ET,41.864,Tor
SF,Kawhi Leonard,8200,Den@SA 08:30PM ET,40.250,SA
PF,Paul Millsap,8000,Sac@Atl 08:00PM ET,40.521,Atl
SG,Jimmy Butler,7800,Chi@Pho 10:30PM ET,35.825,Chi
PF,Derrick Favors,7600,Tor@Uta 09:00PM ET,36.825,Uta
C,Pau Gasol,7500,Chi@Pho 10:30PM ET,34.700,Chi
C,Dwight Howard,7500,Por@Hou 08:00PM ET,37.429,Hou
PG,Brandon Knight,7500,Chi@Pho 10:30PM ET,37.325,Pho
C,Nikola Vucevic,7400,Min@Orl 07:00PM ET,35.469,Orl
PG,Ricky Rubio,7400,Min@Orl 07:00PM ET,36.000,Min
SG,Victor Oladipo,7400,Min@Orl 07:00PM ET,34.278,Orl
SG,DeMar DeRozan,7300,Tor@Uta 09:00PM ET,35.295,Tor
PG,Isaiah Thomas,7300,Dal@Bos 07:30PM ET,35.975,Bos
C,Karl-Anthony Towns,7300,Min@Orl 07:00PM ET,35.050,Min
C,Al Horford,7200,Sac@Atl 08:00PM ET,36.854,Atl
C,Brook Lopez,7200,Bkn@Cha 07:00PM ET,36.775,Bkn
C,Jahlil Okafor,7200,Ind@Phi 07:00PM ET,33.864,Phi
PF,LaMarcus Aldridge,7100,Den@SA 08:30PM ET,31.575,SA
PG,Jeff Teague,7000,Sac@Atl 08:00PM ET,33.409,Atl
SF,Nicolas Batum,7000,Bkn@Cha 07:00PM ET,34.675,Cha
SF,Rudy Gay,6900,Sac@Atl 08:00PM ET,29.205,Sac
PF,Serge Ibaka,6900,NO@OKC 08:00PM ET,32.477,OKC
PF,Nerlens Noel,6900,Ind@Phi 07:00PM ET,31.028,Phi
SG,Tyreke Evans,6800,NO@OKC 08:00PM ET,0,NO
C,Rudy Gobert,6700,Tor@Uta 09:00PM ET,34.125,Uta
SG,Andrew Wiggins,6600,Min@Orl 07:00PM ET,28.556,Min
PF,Dirk Nowitzki,6500,Dal@Bos 07:30PM ET,31.550,Dal
PG,Kemba Walker,6500,Bkn@Cha 07:00PM ET,31.000,Cha
SG,C.J. McCollum,6500,Por@Hou 08:00PM ET,31.146,Por
SF,Evan Fournier,6500,Min@Orl 07:00PM ET,31.159,Orl
SG,Eric Gordon,6400,NO@OKC 08:00PM ET,29.825,NO
SF,Gordon Hayward,6400,Tor@Uta 09:00PM ET,27.100,Uta
SF,Danilo Gallinari,6300,Den@SA 08:30PM ET,29.000,Den
C,Tim Duncan,6200,Den@SA 08:30PM ET,29.550,SA
PF,Terrence Jones,6200,Por@Hou 08:00PM ET,26.375,Hou
PF,Thaddeus Young,6100,Bkn@Cha 07:00PM ET,29.975,Bkn
PF,Kenneth Faried,6100,Den@SA 08:30PM ET,29.725,Den
SF,Tobias Harris,6100,Min@Orl 07:00PM ET,29.886,Orl
PG,Emmanuel Mudiay,6100,Den@SA 08:30PM ET,29.100,Den
C,Al Jefferson,6000,Bkn@Cha 07:00PM ET,27.900,Cha
PG,George Hill,6000,Ind@Phi 07:00PM ET,28.175,Ind
SG,Monta Ellis,6000,Ind@Phi 07:00PM ET,28.091,Ind
PG,Derrick Rose,6000,Chi@Pho 10:30PM ET,27.000,Chi
SF,Al-Farouq Aminu,6000,Por@Hou 08:00PM ET,27.271,Por
C,Jared Sullinger,6000,Dal@Bos 07:30PM ET,30.075,Bos
PG,Jarrett Jack,5900,Bkn@Cha 07:00PM ET,32.528,Bkn
PF,Ryan Anderson,5900,NO@OKC 08:00PM ET,28.625,NO
C,Jonas Valanciunas,5900,Tor@Uta 09:00PM ET,28.818,Tor
PF,Nikola Mirotic,5900,Chi@Pho 10:30PM ET,22.900,Chi
PF,Markieff Morris,5800,Chi@Pho 10:30PM ET,23.188,Pho
PG,Elfrid Payton,5700,Min@Orl 07:00PM ET,26.273,Orl
PG,Deron Williams,5600,Dal@Bos 07:30PM ET,25.675,Dal
C,Zaza Pachulia,5600,Dal@Bos 07:30PM ET,27.045,Dal
SF,Trevor Ariza,5600,Por@Hou 08:00PM ET,26.091,Hou
SF,DeMarre Carroll,5600,Tor@Uta 09:00PM ET,23.750,Tor
SF,Jae Crowder,5600,Dal@Bos 07:30PM ET,26.225,Bos
PF,Marvin Williams,5500,Bkn@Cha 07:00PM ET,27.300,Cha
SF,Wilson Chandler,5500,Den@SA 08:30PM ET,0,Den
PG,Ish Smith,5500,NO@OKC 08:00PM ET,27.625,NO
C,Mason Plumlee,5500,Por@Hou 08:00PM ET,26.208,Por
SF,Marcus Thornton,5400,Por@Hou 08:00PM ET,24.972,Hou
SF,Kent Bazemore,5400,Sac@Atl 08:00PM ET,25.396,Atl
SG,Alec Burks,5400,Tor@Uta 09:00PM ET,26.050,Uta
PG,T.J. McConnell,5400,Ind@Phi 07:00PM ET,25.477,Phi
PG,Zach LaVine,5400,Min@Orl 07:00PM ET,24.500,Min
C,Jusuf Nurkic,5400,Den@SA 08:30PM ET,0,Den
C,Tyson Chandler,5300,Chi@Pho 10:30PM ET,23.175,Pho
SF,Joe Johnson,5300,Bkn@Cha 07:00PM ET,24.825,Bkn
PG,Ty Lawson,5300,Por@Hou 08:00PM ET,23.864,Hou
C,Enes Kanter,5200,NO@OKC 08:00PM ET,24.591,OKC
SG,Will Barton,5100,Den@SA 08:30PM ET,26.825,Den
PG,Jrue Holiday,5000,NO@OKC 08:00PM ET,22.643,NO
PF,Dwight Powell,5000,Dal@Bos 07:30PM ET,24.932,Dal
PG,Tony Wroten,4900,Ind@Phi 07:00PM ET,0,Phi
PG,Dennis Schroder,4900,Sac@Atl 08:00PM ET,22.958,Atl
C,Joakim Noah,4800,Chi@Pho 10:30PM ET,21.278,Chi
PG,Darren Collison,4800,Sac@Atl 08:00PM ET,26.375,Sac
SG,Evan Turner,4800,Dal@Bos 07:30PM ET,20.925,Bos
SG,Rodney Hood,4800,Tor@Uta 09:00PM ET,23.222,Uta
PG,Marcus Smart,4800,Dal@Bos 07:30PM ET,26.071,Bos
SF,Robert Covington,4700,Ind@Phi 07:00PM ET,13.875,Phi
PF,Nemanja Bjelica,4700,Min@Orl 07:00PM ET,22.300,Min
C,Clint Capela,4700,Por@Hou 08:00PM ET,20.318,Hou
PF,Jordan Hill,4600,Ind@Phi 07:00PM ET,22.575,Ind
SG,Dion Waiters,4600,NO@OKC 08:00PM ET,19.841,OKC
PF,Donatas Motiejunas,4600,Por@Hou 08:00PM ET,0,Hou
SF,Jerami Grant,4600,Ind@Phi 07:00PM ET,21.909,Phi
SG,Kyle Korver,4500,Sac@Atl 08:00PM ET,20.325,Atl
SG,Wesley Matthews,4500,Dal@Bos 07:30PM ET,17.222,Dal
SG,Avery Bradley,4500,Dal@Bos 07:30PM ET,21.844,Bos
