Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PF,DeMarcus Cousins,11100,Sac@Phi 07:00PM ET,50.471,Sac
PG,Stephen Curry,11000,GS@Pho 09:00PM ET,51.974,GS
SG,James Harden,10400,Hou@Por 10:30PM ET,50.184,Hou
SF,LeBron James,9800,LAL@Cle 08:00PM ET,47.225,Cle
PF,Anthony Davis,9700,Uta@NO 08:00PM ET,46.250,NO
PF,Draymond Green,9300,GS@Pho 09:00PM ET,43.199,GS
PG,Damian Lillard,9200,Hou@Por 10:30PM ET,43.304,Por
PG,Chris Paul,9100,LAC@Bos 07:30PM ET,42.277,LAC
C,Pau Gasol,9000,Atl@Chi 08:00PM ET,40.901,Chi
SG,Jimmy Butler,8600,Atl@Chi 08:00PM ET,39.682,Chi
PG,Kyle Lowry,8500,Tor@Min 08:00PM ET,42.289,Tor
PF,Blake Griffin,8500,LAC@Bos 07:30PM ET,43.567,LAC
SF,Paul George,8400,Cha@Ind 07:00PM ET,42.452,Ind
SG,Eric Bledsoe,8300,GS@Pho 09:00PM ET,39.056,Pho
C,Karl-Anthony Towns,8300,Tor@Min 08:00PM ET,36.349,Min
PG,Kemba Walker,8200,Cha@Ind 07:00PM ET,38.088,Cha
PG,Rajon Rondo,8100,Sac@Phi 07:00PM ET,41.055,Sac
PF,Paul Millsap,8000,Atl@Chi 08:00PM ET,39.774,Atl
C,Andre Drummond,8000,Den@Det 07:30PM ET,43.179,Det
C,DeAndre Jordan,7900,LAC@Bos 07:30PM ET,36.960,LAC
SG,Klay Thompson,7800,GS@Pho 09:00PM ET,32.510,GS
SG,DeMar DeRozan,7700,Tor@Min 08:00PM ET,36.760,Tor
PG,Isaiah Thomas,7700,LAC@Bos 07:30PM ET,37.382,Bos
PG,Kyrie Irving,7700,LAL@Cle 08:00PM ET,30.530,Cle
PF,Kevin Love,7600,LAL@Cle 08:00PM ET,36.215,Cle
SF,Kawhi Leonard,7600,SA@Orl 07:00PM ET,37.689,SA
C,Brook Lopez,7500,Mem@Bkn 07:30PM ET,37.613,Bkn
C,Dwight Howard,7400,Hou@Por 10:30PM ET,36.000,Hou
SF,Nicolas Batum,7300,Cha@Ind 07:00PM ET,34.203,Cha
SF,Gordon Hayward,7300,Uta@NO 08:00PM ET,34.310,Uta
PG,Ish Smith,7200,Sac@Phi 07:00PM ET,28.447,Phi
C,Nikola Vucevic,7200,SA@Orl 07:00PM ET,36.057,Orl
PG,Brandon Knight,7200,GS@Pho 09:00PM ET,34.756,Pho
PF,LaMarcus Aldridge,7100,SA@Orl 07:00PM ET,31.867,SA
PF,Derrick Favors,7100,Uta@NO 08:00PM ET,34.076,Uta
SG,C.J. McCollum,7100,Hou@Por 10:30PM ET,34.833,Por
C,Marc Gasol,7000,Mem@Bkn 07:30PM ET,34.731,Mem
PG,Derrick Rose,7000,Atl@Chi 08:00PM ET,28.295,Chi
PF,Thaddeus Young,6900,Mem@Bkn 07:30PM ET,32.566,Bkn
PG,Jrue Holiday,6900,Uta@NO 08:00PM ET,28.961,NO
SF,Rudy Gay,6800,Sac@Phi 07:00PM ET,31.783,Sac
SF,Danilo Gallinari,6800,Den@Det 07:30PM ET,32.851,Den
SG,Tyreke Evans,6800,Uta@NO 08:00PM ET,34.210,NO
C,Rudy Gobert,6800,Uta@NO 08:00PM ET,32.125,Uta
C,Gorgui Dieng,6700,Tor@Min 08:00PM ET,23.731,Min
C,Al Horford,6600,Atl@Chi 08:00PM ET,33.208,Atl
PF,Zach Randolph,6500,Mem@Bkn 07:30PM ET,27.729,Mem
PG,Reggie Jackson,6500,Den@Det 07:30PM ET,33.981,Det
PF,Markieff Morris,6500,GS@Pho 09:00PM ET,23.111,Pho
PF,Nerlens Noel,6500,Sac@Phi 07:00PM ET,29.005,Phi
SG,Victor Oladipo,6400,SA@Orl 07:00PM ET,29.771,Orl
PF,Julius Randle,6400,LAL@Cle 08:00PM ET,28.099,LAL
SG,Andrew Wiggins,6400,Tor@Min 08:00PM ET,30.048,Min
PG,Jarrett Jack,6300,Mem@Bkn 07:30PM ET,31.078,Bkn
PG,Mike Conley,6300,Mem@Bkn 07:30PM ET,30.745,Mem
C,Jahlil Okafor,6300,Sac@Phi 07:00PM ET,30.299,Phi
SG,Kobe Bryant,6200,LAL@Cle 08:00PM ET,29.523,LAL
SF,Trevor Ariza,6200,Hou@Por 10:30PM ET,25.692,Hou
SG,Monta Ellis,6200,Cha@Ind 07:00PM ET,28.913,Ind
PG,Ricky Rubio,6200,Tor@Min 08:00PM ET,31.851,Min
SG,Archie Goodwin,6100,GS@Pho 09:00PM ET,16.174,Pho
C,Nikola Jokic,6100,Den@Det 07:30PM ET,22.559,Den
C,Myles Turner,6100,Cha@Ind 07:00PM ET,19.992,Ind
PG,Jeff Teague,6000,Atl@Chi 08:00PM ET,29.025,Atl
PF,Kenneth Faried,6000,Den@Det 07:30PM ET,28.065,Den
C,Jonas Valanciunas,6000,Tor@Min 08:00PM ET,28.287,Tor
SG,Rodney Hood,6000,Uta@NO 08:00PM ET,24.807,Uta
SF,Stanley Johnson,6000,Den@Det 07:30PM ET,18.245,Det
SG,Devin Booker,5900,GS@Pho 09:00PM ET,16.718,Pho
SG,J.R. Smith,5800,LAL@Cle 08:00PM ET,22.883,Cle
SF,Robert Covington,5800,Sac@Phi 07:00PM ET,24.616,Phi
PF,Aaron Gordon,5800,SA@Orl 07:00PM ET,19.930,Orl
PG,Emmanuel Mudiay,5800,Den@Det 07:30PM ET,26.058,Den
SF,Jeff Green,5700,Mem@Bkn 07:30PM ET,22.476,Mem
PG,George Hill,5700,Cha@Ind 07:00PM ET,26.178,Ind
PF,Ryan Anderson,5700,Uta@NO 08:00PM ET,28.709,NO
SF,Jae Crowder,5700,LAC@Bos 07:30PM ET,27.863,Bos
C,Al Jefferson,5600,Cha@Ind 07:00PM ET,26.053,Cha
PF,Taj Gibson,5600,Atl@Chi 08:00PM ET,21.868,Chi
SG,Evan Turner,5600,LAC@Bos 07:30PM ET,23.708,Bos
SG,E'Twaun Moore,5600,Atl@Chi 08:00PM ET,11.782,Chi
SG,Avery Bradley,5600,LAC@Bos 07:30PM ET,25.417,Bos
SG,Kentavious Caldwell-Pope,5600,Den@Det 07:30PM ET,25.755,Det
PF,Marvin Williams,5500,Cha@Ind 07:00PM ET,25.029,Cha
SF,Wilson Chandler,5500,Den@Det 07:30PM ET,0,Den
PG,Norris Cole,5500,Uta@NO 08:00PM ET,20.118,NO
SG,Will Barton,5500,Den@Det 07:30PM ET,29.373,Den
SF,Tobias Harris,5500,SA@Orl 07:00PM ET,28.485,Orl
PF,Clint Capela,5500,Hou@Por 10:30PM ET,20.931,Hou
SF,Joe Johnson,5400,Mem@Bkn 07:30PM ET,24.156,Bkn
SF,P.J. Tucker,5400,GS@Pho 09:00PM ET,19.811,Pho
C,Joakim Noah,5400,Atl@Chi 08:00PM ET,23.353,Chi
SF,Kent Bazemore,5400,Atl@Chi 08:00PM ET,25.684,Atl
SF,Michael Kidd-Gilchrist,5400,Cha@Ind 07:00PM ET,25.917,Cha
SG,Jamal Crawford,5300,LAC@Bos 07:30PM ET,20.101,LAC
PF,Jordan Hill,5300,Cha@Ind 07:00PM ET,21.911,Ind
SF,Marcus Morris,5300,Den@Det 07:30PM ET,25.803,Det
SF,Omri Casspi,5200,Sac@Phi 07:00PM ET,24.984,Sac
C,Jared Sullinger,5200,LAC@Bos 07:30PM ET,26.707,Bos
PG,Zach LaVine,5200,Tor@Min 08:00PM ET,22.420,Min
SF,Al-Farouq Aminu,5100,Hou@Por 10:30PM ET,24.052,Por
PF,Tristan Thompson,5100,LAL@Cle 08:00PM ET,21.873,Cle
PG,Elfrid Payton,5100,SA@Orl 07:00PM ET,26.473,Orl
C,Tim Duncan,5000,SA@Orl 07:00PM ET,26.655,SA
PF,Ersan Ilyasova,5000,Den@Det 07:30PM ET,22.462,Det
PG,Patrick Beverley,5000,Hou@Por 10:30PM ET,20.065,Hou
PG,Jordan Clarkson,5000,LAL@Cle 08:00PM ET,25.832,LAL
PF,Nikola Mirotic,5000,Atl@Chi 08:00PM ET,23.261,Chi
SG,Evan Fournier,5000,SA@Orl 07:00PM ET,24.132,Orl
SG,J.J. Redick,4900,LAC@Bos 07:30PM ET,22.510,LAC
SG,Lou Williams,4900,LAL@Cle 08:00PM ET,25.015,LAL
SF,Harrison Barnes,4900,GS@Pho 09:00PM ET,22.419,GS
PG,Marcus Smart,4900,LAC@Bos 07:30PM ET,23.438,Bos
PG,Tony Parker,4800,SA@Orl 07:00PM ET,24.261,SA
SF,Matt Barnes,4800,Mem@Bkn 07:30PM ET,22.120,Mem
SF,DeMarre Carroll,4800,Tor@Min 08:00PM ET,23.261,Tor
SF,Wesley Johnson,4800,LAC@Bos 07:30PM ET,14.918,LAC
PG,Jeremy Lin,4800,Cha@Ind 07:00PM ET,23.010,Cha
C,Mason Plumlee,4800,Hou@Por 10:30PM ET,25.717,Por
SF,Jerami Grant,4800,Sac@Phi 07:00PM ET,21.555,Phi
C,Willie Cauley-Stein,4800,Sac@Phi 07:00PM ET,17.270,Sac
PG,Dennis Schroder,4800,Atl@Chi 08:00PM ET,22.471,Atl
PG,D'Angelo Russell,4800,LAL@Cle 08:00PM ET,23.947,LAL
PG,Darren Collison,4700,Sac@Phi 07:00PM ET,23.362,Sac
SG,Danny Green,4700,SA@Orl 07:00PM ET,18.074,SA
C,Cody Zeller,4700,Cha@Ind 07:00PM ET,20.500,Cha
C,Tyson Chandler,4600,GS@Pho 09:00PM ET,19.585,Pho
C,Ian Mahinmi,4600,Cha@Ind 07:00PM ET,22.471,Ind
PF,Amir Johnson,4600,LAC@Bos 07:30PM ET,21.630,Bos
SG,Eric Gordon,4600,Uta@NO 08:00PM ET,24.537,NO
SG,Rondae Hollis-Jefferson,4600,Mem@Bkn 07:30PM ET,18.289,Bkn
SF,Corey Brewer,4500,Hou@Por 10:30PM ET,15.415,Hou
SG,Marco Belinelli,4500,Sac@Phi 07:00PM ET,17.691,Sac
SF,Andre Iguodala,4400,GS@Pho 09:00PM ET,21.158,GS
C,Andrew Bogut,4400,GS@Pho 09:00PM ET,21.058,GS
PF,Josh Smith,4400,Hou@Por 10:30PM ET,16.427,Hou
C,Spencer Hawes,4400,Cha@Ind 07:00PM ET,16.283,Cha
PF,Ed Davis,4400,Hou@Por 10:30PM ET,19.880,Por
C,Alex Len,4400,GS@Pho 09:00PM ET,18.400,Pho
PF,Bobby Portis,4400,Atl@Chi 08:00PM ET,14.669,Chi
PF,David West,4300,SA@Orl 07:00PM ET,16.350,SA
SG,Gerald Henderson,4300,Hou@Por 10:30PM ET,13.682,Por
PG,Donald Sloan,4300,Mem@Bkn 07:30PM ET,15.977,Bkn
C,Kelly Olynyk,4300,LAC@Bos 07:30PM ET,20.784,Bos
PF,Larry Nance Jr.,4300,LAL@Cle 08:00PM ET,14.900,LAL
SG,Gary Harris,4300,Den@Det 07:30PM ET,20.069,Den
SG,Kyle Korver,4200,Atl@Chi 08:00PM ET,19.788,Atl
SF,Tony Allen,4200,Mem@Bkn 07:30PM ET,17.328,Mem
PG,Mario Chalmers,4200,Mem@Bkn 07:30PM ET,21.102,Mem
SG,Alec Burks,4200,Uta@NO 08:00PM ET,23.018,Uta
SG,Terrence Ross,4200,Tor@Min 08:00PM ET,16.133,Tor
PG,Cory Joseph,4200,Tor@Min 08:00PM ET,18.201,Tor
SG,Manu Ginobili,4100,SA@Orl 07:00PM ET,20.994,SA
PG,Aaron Brooks,4100,Atl@Chi 08:00PM ET,13.939,Chi
SF,C.J. Miles,4100,Cha@Ind 07:00PM ET,20.840,Ind
SG,Wayne Ellington,4100,Mem@Bkn 07:30PM ET,12.726,Bkn
SG,Allen Crabbe,4100,Hou@Por 10:30PM ET,18.721,Por
PG,Trey Burke,4100,Uta@NO 08:00PM ET,19.791,Uta
PF,Brandon Bass,4000,LAL@Cle 08:00PM ET,15.592,LAL
SG,Rodney Stuckey,4000,Cha@Ind 07:00PM ET,19.386,Ind
C,Tyler Zeller,4000,LAC@Bos 07:30PM ET,10.129,Bos
PG,Isaiah Canaan,4000,Sac@Phi 07:00PM ET,18.216,Phi
PG,Matthew Dellavedova,4000,LAL@Cle 08:00PM ET,20.185,Cle
SG,Bryce Dejean-Jones,4000,Uta@NO 08:00PM ET,14.025,NO
C,Meyers Leonard,4000,Hou@Por 10:30PM ET,18.380,Por
SG,Jeremy Lamb,4000,Cha@Ind 07:00PM ET,19.940,Cha
PF,Terrence Jones,4000,Hou@Por 10:30PM ET,18.744,Hou
SF,Mirza Teletovic,4000,GS@Pho 09:00PM ET,16.922,Pho
SF,T.J. Warren,4000,GS@Pho 09:00PM ET,18.516,Pho
SF,Shabazz Muhammad,4000,Tor@Min 08:00PM ET,14.929,Min
PG,Raul Neto,4000,Uta@NO 08:00PM ET,13.224,Uta
PG,Jameer Nelson,3900,Den@Det 07:30PM ET,20.395,Den
PF,Luis Scola,3900,Tor@Min 08:00PM ET,19.608,Tor
SG,Courtney Lee,3900,Mem@Bkn 07:30PM ET,17.800,Mem
PF,Darrell Arthur,3900,Den@Det 07:30PM ET,16.636,Den
PF,Trevor Booker,3900,Uta@NO 08:00PM ET,17.703,Uta
PF,Jon Leuer,3900,GS@Pho 09:00PM ET,19.390,Pho
C,Bismack Biyombo,3900,Tor@Min 08:00PM ET,19.005,Tor
PG,Shane Larkin,3900,Mem@Bkn 07:30PM ET,17.449,Bkn
SF,Thabo Sefolosha,3800,Atl@Chi 08:00PM ET,17.786,Atl
PF,Patrick Patterson,3800,Tor@Min 08:00PM ET,15.598,Tor
