First Name,Last Name,Team,VS,Pos,FPPG,Sal
Anthony,Tolliver,DET,DET @ CLE,PF,13.08,3300
James,Jones,CLE,DET @ CLE,SF,5.70,3000
LeBron,James,CLE,DET @ CLE,SF,44.58,7550
Tobias,Harris,DET,DET @ CLE,SF,25.88,4650
Iman,Shumpert,CLE,DET @ CLE,SG,14.39,3500
J.R.,Smith,CLE,DET @ CLE,SG,21.64,4400
Tristan,Thompson,CLE,DET @ CLE,PF,21.50,4500
Kyrie,Irving,CLE,DET @ CLE,PG,29.89,5650
Matthew,Dellavedova,CLE,DET @ CLE,PG,17.95,3900
Andre,Drummond,DET,DET @ CLE,C,39.72,6250
Kentavious,Caldwell-Pope,DET,DET @ CLE,SG,24.81,4200
Kevin,Love,CLE,DET @ CLE,PF,32.59,5800
Richard,Jefferson,CLE,DET @ CLE,SF,8.74,3300
Reggie,Jackson,DET,DET @ CLE,PG,31.53,4900
Mo,Williams,CLE,DET @ CLE,PG,9.23,3600
Timofey,Mozgov,CLE,DET @ CLE,C,12.74,3600
Donatas,Motiejunas,DET,DET @ CLE,PF,9.11,3500
Aron,Baynes,DET,DET @ CLE,C,14.52,3500
Steve,Blake,DET,DET @ CLE,PG,10.78,3300
Jodie,Meeks,DET,DET @ CLE,SG,0.00,3500
Reggie,Bullock,DET,DET @ CLE,SG,0.80,3300
Channing,Frye,CLE,DET @ CLE,PF,11.67,3500
Marcus,Morris,DET,DET @ CLE,SF,23.01,4300
Marcus,Thornton,DET,DET @ CLE,SG,15.06,3700
Spencer,Dinwiddie,DET,DET @ CLE,PG,3.69,3500
Stanley,Johnson,DET,DET @ CLE,SF,17.71,4500
Darrun,Hilliard,DET,DET @ CLE,SG,5.43,3000
Sasha,Kaun,CLE,DET @ CLE,C,2.36,3000
Kevin,Seraphin,NYK,TOR @ NYK,C,9.11,3000
Bismack,Biyombo,TOR,TOR @ NYK,C,19.73,3700
DeMarre,Carroll,TOR,TOR @ NYK,SF,19.94,3800
Arron,Afflalo,NYK,TOR @ NYK,SG,21.35,4400
Kyle,O'Quinn,NYK,TOR @ NYK,PF,10.76,3500
Carmelo,Anthony,NYK,TOR @ NYK,SF,38.58,6550
DeMar,DeRozan,TOR,TOR @ NYK,SG,36.65,5700
Kyle,Lowry,TOR,TOR @ NYK,PG,38.53,6000
Terrence,Ross,TOR,TOR @ NYK,SF,16.60,3950
Jonas,Valanciunas,TOR,TOR @ NYK,C,29.18,5000
Anthony,Bennett,TOR,TOR @ NYK,PF,3.61,3000
Luis,Scola,TOR,TOR @ NYK,PF,16.22,3750
Derrick,Williams,NYK,TOR @ NYK,PF,15.60,3800
Robin,Lopez,NYK,TOR @ NYK,C,21.73,4400
Lance,Thomas,NYK,TOR @ NYK,SF,13.61,3200
Cory,Joseph,TOR,TOR @ NYK,PG,16.82,3800
Jose,Calderon,NYK,TOR @ NYK,PG,19.01,4000
Patrick,Patterson,TOR,TOR @ NYK,PF,15.38,3750
James,Johnson,TOR,TOR @ NYK,PF,10.82,3300
Lou,Amundson,NYK,TOR @ NYK,PF,5.00,3000
Sasha,Vujacic,NYK,TOR @ NYK,SG,7.51,3500
Cleanthony,Early,NYK,TOR @ NYK,SF,0.20,3300
Bruno,Caboclo,TOR,TOR @ NYK,SF,1.13,3000
Lucas,Nogueira,TOR,TOR @ NYK,C,5.30,3000
Langston,Galloway,NYK,TOR @ NYK,PG,16.76,4000
Kristaps,Porzingis,NYK,TOR @ NYK,PF,29.11,5150
Jerian,Grant,NYK,TOR @ NYK,PG,9.18,3500
Delon,Wright,TOR,TOR @ NYK,PG,2.28,3000
Norman,Powell,TOR,TOR @ NYK,SG,4.20,3400
Josh,McRoberts,MIA,IND @ MIA,PF,12.50,3500
Dwyane,Wade,MIA,IND @ MIA,SG,31.26,5550
Udonis,Haslem,MIA,IND @ MIA,PF,5.54,3000
Chris,Bosh,MIA,IND @ MIA,PF,32.09,5500
Amar'e,Stoudemire,MIA,IND @ MIA,C,13.99,3800
Beno,Udrih,MIA,IND @ MIA,PG,10.52,3550
Lavoy,Allen,IND,IND @ MIA,PF,14.80,3500
Luol,Deng,MIA,IND @ MIA,SF,22.05,4150
C.J.,Miles,IND,IND @ MIA,SF,18.44,3800
George,Hill,IND,IND @ MIA,PG,24.52,4600
Ian,Mahinmi,IND,IND @ MIA,C,22.98,3800
Paul,George,IND,IND @ MIA,SF,37.68,6100
Solomon,Hill,IND,IND @ MIA,SF,8.28,3000
Rodney,Stuckey,IND,IND @ MIA,PG,18.51,3700
Chase,Budinger,IND,IND @ MIA,SF,8.93,3300
Monta,Ellis,IND,IND @ MIA,SG,27.24,5000
Jordan,Hill,IND,IND @ MIA,C,19.81,4200
Gerald,Green,MIA,IND @ MIA,SG,16.71,3850
Goran,Dragic,MIA,IND @ MIA,PG,26.27,4800
Glenn,Robinson,IND,IND @ MIA,SF,6.21,3000
Shayne,Whittington,IND,IND @ MIA,PF,4.92,3000
Tyler,Johnson,MIA,IND @ MIA,SG,17.02,3900
Hassan,Whiteside,MIA,IND @ MIA,C,31.81,5500
Justise,Winslow,MIA,IND @ MIA,SF,15.12,4000
Myles,Turner,IND,IND @ MIA,C,22.80,4700
Josh,Richardson,MIA,IND @ MIA,SG,6.50,3000
Rakeem,Christmas,IND,IND @ MIA,PF,0.00,3000
Joseph,Young,IND,IND @ MIA,PG,7.69,3500
Evan,Turner,BOS,BOS @ MIN,SG,23.30,4500
Kevin,Garnett,MIN,BOS @ MIN,PF,12.28,3700
Kelly,Olynyk,BOS,BOS @ MIN,C,20.23,3900
Avery,Bradley,BOS,BOS @ MIN,SG,23.96,4400
Jared,Sullinger,BOS,BOS @ MIN,PF,25.75,4750
Amir,Johnson,BOS,BOS @ MIN,PF,20.14,3900
Tyler,Zeller,BOS,BOS @ MIN,C,9.97,3700
Jonas,Jerebko,BOS,BOS @ MIN,PF,9.86,3300
Kevin,Martin,MIN,BOS @ MIN,SG,13.19,3800
Ricky,Rubio,MIN,BOS @ MIN,PG,30.05,5000
Shabazz,Muhammad,MIN,BOS @ MIN,SF,15.76,3950
Nikola,Pekovic,MIN,BOS @ MIN,C,8.15,3800
Gorgui,Dieng,MIN,BOS @ MIN,C,25.06,5300
Andre,Miller,MIN,BOS @ MIN,PG,5.63,3300
Tayshaun,Prince,MIN,BOS @ MIN,SF,8.39,3000
Jae,Crowder,BOS,BOS @ MIN,SF,27.15,4600
Isaiah,Thomas,BOS,BOS @ MIN,PG,35.73,5700
Adreian,Payne,MIN,BOS @ MIN,PF,6.33,3300
James,Young,BOS,BOS @ MIN,SG,3.65,3000
Marcus,Smart,BOS,BOS @ MIN,PG,22.37,4200
Andrew,Wiggins,MIN,BOS @ MIN,SF,29.55,4900
Zach,LaVine,MIN,BOS @ MIN,PG,20.45,4200
Damjan,Rudez,MIN,BOS @ MIN,SF,3.95,3000
Terry,Rozier,BOS,BOS @ MIN,PG,2.75,3000
Karl-Anthony,Towns,MIN,BOS @ MIN,C,35.86,5900
Jordan,Mickey,BOS,BOS @ MIN,PF,3.75,3000
R.J.,Hunter,BOS,BOS @ MIN,SG,5.63,3000
Tyus,Jones,MIN,BOS @ MIN,PG,9.36,3000
Nemanja,Bjelica,MIN,BOS @ MIN,PF,8.58,3300
Paul,Millsap,ATL,GSW @ ATL,PF,36.72,5850
Jeff,Teague,ATL,GSW @ ATL,PG,26.44,4950
Dennis,Schroder,ATL,GSW @ ATL,PG,21.19,4100
Kyle,Korver,ATL,GSW @ ATL,SG,18.18,4200
Al,Horford,ATL,GSW @ ATL,C,30.61,5300
Mike,Scott,ATL,GSW @ ATL,PF,12.99,3500
Tim,Hardaway Jr.,ATL,GSW @ ATL,SG,8.41,3500
Shaun,Livingston,GSW,GSW @ ATL,PG,14.74,3500
Kirk,Hinrich,ATL,GSW @ ATL,PG,7.21,3300
Brandon,Rush,GSW,GSW @ ATL,SG,11.26,3300
Thabo,Sefolosha,ATL,GSW @ ATL,SF,16.95,3700
Tiago,Splitter,ATL,GSW @ ATL,C,12.27,3500
Festus,Ezeli,GSW,GSW @ ATL,C,17.09,3700
Andrew,Bogut,GSW,GSW @ ATL,C,19.89,4100
Kent,Bazemore,ATL,GSW @ ATL,SF,23.07,4700
Klay,Thompson,GSW,GSW @ ATL,SG,31.75,5500
Draymond,Green,GSW,GSW @ ATL,PF,41.00,6600
Stephen,Curry,GSW,GSW @ ATL,PG,46.77,7500
Andre,Iguodala,GSW,GSW @ ATL,SF,18.51,4200
Harrison,Barnes,GSW,GSW @ ATL,SF,18.73,4300
Marreese,Speights,GSW,GSW @ ATL,C,12.19,3300
Jason,Thompson,GSW,GSW @ ATL,C,6.49,3000
Ian,Clark,GSW,GSW @ ATL,SG,8.02,3000
Leandro,Barbosa,GSW,GSW @ ATL,SG,11.30,3500
Mike,Muscala,ATL,GSW @ ATL,C,8.54,3000
Walter,Tavares,ATL,GSW @ ATL,C,6.25,3000
Lamar,Patterson,ATL,GSW @ ATL,SG,5.44,3000
James Michael,McAdoo,GSW,GSW @ ATL,PF,5.92,3450
Kevon,Looney,GSW,GSW @ ATL,PF,4.88,3000
Lou,Williams,LAL,LAL @ MIL,SG,24.53,4350
Metta,World Peace,LAL,LAL @ MIL,SF,9.89,3300
Michael,Carter-Williams,MIL,LAL @ MIL,PG,29.09,4700
Brandon,Bass,LAL,LAL @ MIL,PF,16.81,3750
Roy,Hibbert,LAL,LAL @ MIL,C,15.85,3750
Greg,Monroe,MIL,LAL @ MIL,C,33.51,5250
O.J.,Mayo,MIL,LAL @ MIL,SG,17.94,3600
Khris,Middleton,MIL,LAL @ MIL,SG,31.62,5200
Giannis,Antetokounmpo,MIL,LAL @ MIL,SF,31.84,5200
John,Henson,MIL,LAL @ MIL,C,17.45,3650
Jerryd,Bayless,MIL,LAL @ MIL,PG,18.90,3900
Robert,Sacre,LAL,LAL @ MIL,C,7.75,3000
Ryan,Kelly,LAL,LAL @ MIL,PF,12.45,3400
Nick,Young,LAL,LAL @ MIL,SF,9.41,3300
Kobe,Bryant,LAL,LAL @ MIL,SG,27.64,5000
Miles,Plumlee,MIL,LAL @ MIL,C,10.06,3300
Greivis,Vasquez,MIL,LAL @ MIL,PG,13.25,3300
Jabari,Parker,MIL,LAL @ MIL,PF,22.77,3900
Julius,Randle,LAL,LAL @ MIL,PF,27.04,4900
Tyler,Ennis,MIL,LAL @ MIL,PG,4.09,3000
Johnny,O'Bryant,MIL,LAL @ MIL,PF,7.18,3000
Damien,Inglis,MIL,LAL @ MIL,SF,0.08,3000
Jordan,Clarkson,LAL,LAL @ MIL,SG,25.74,4650
Tarik,Black,LAL,LAL @ MIL,C,10.44,3000
Rashad,Vaughn,MIL,LAL @ MIL,SG,5.44,3000
D'Angelo,Russell,LAL,LAL @ MIL,PG,21.90,4100
Larry,Nance,LAL,LAL @ MIL,PF,15.54,3900
Anthony,Brown,LAL,LAL @ MIL,SF,8.67,3000
Marcelo,Huertas,LAL,LAL @ MIL,PG,7.23,3000
Ronnie,Price,PHX,PHX @ LAC,PG,10.11,3500
Tyson,Chandler,PHX,PHX @ LAC,C,18.51,4250
Pablo,Prigioni,LAC,PHX @ LAC,PG,9.16,3000
Mirza,Teletovic,PHX,PHX @ LAC,PF,18.09,3800
Paul,Pierce,LAC,PHX @ LAC,SF,11.12,3700
Kris,Humphries,PHX,PHX @ LAC,PF,12.64,3500
Jeff,Green,LAC,PHX @ LAC,SF,22.86,4500
Brandon,Knight,PHX,PHX @ LAC,PG,29.57,5100
Jon,Leuer,PHX,PHX @ LAC,PF,20.78,3800
Austin,Rivers,LAC,PHX @ LAC,SG,12.79,3650
DeJuan,Blair,PHX,PHX @ LAC,C,5.33,3000
Wesley,Johnson,LAC,PHX @ LAC,SF,16.17,3800
DeAndre,Jordan,LAC,PHX @ LAC,C,36.74,6000
Jamal,Crawford,LAC,PHX @ LAC,SG,19.39,4450
Chris,Paul,LAC,PHX @ LAC,PG,42.03,6400
J.J.,Redick,LAC,PHX @ LAC,SG,21.08,4300
Alex,Len,PHX,PHX @ LAC,C,19.61,4100
Archie,Goodwin,PHX,PHX @ LAC,SG,18.76,4400
P.J.,Tucker,PHX,PHX @ LAC,SF,19.43,4150
Luc,Mbah a Moute,LAC,PHX @ LAC,PF,8.01,3400
Cole,Aldrich,LAC,PHX @ LAC,C,15.44,3700
C.J.,Wilcox,LAC,PHX @ LAC,SG,2.69,3000
T.J.,Warren,PHX,PHX @ LAC,SF,18.45,3500
Devin,Booker,PHX,PHX @ LAC,SG,18.20,4400
Branden,Dawson,LAC,PHX @ LAC,SF,2.58,3000
Sonny,Weems,PHX,PHX @ LAC,SG,6.21,3000
Phil,Pressey,PHX,PHX @ LAC,PG,12.83,3300
Alex,Stepheson,LAC,PHX @ LAC,PF,0.00,3000
