Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
9524,PG,Stephen,Curry,50.9,10,11000,BKN@GS,GS,BKN,,,,
9488,SF,LeBron,James,45.3,8,10200,CLE@MIL,CLE,MIL,,,,
9644,SG,James,Harden,44.9,8,10000,DAL@HOU,HOU,DAL,,,,
9560,PF,Blake,Griffin,42.9,9,9700,DET@LAC,LAC,DET,,,,
15557,C,Andre,Drummond,47.2,8,9700,DET@LAC,DET,LAC,,,,
12332,PG,John,Wall,38,7,9200,ORL@WAS,WAS,ORL,,,,
9623,PG,Chris,Paul,31.7,7,8900,DET@LAC,LAC,DET,GTD,Groin,,
12355,SG,Eric,Bledsoe,39.1,8,8500,DEN@PHO,PHO,DEN,,,,
14513,SF,Kawhi,Leonard,37.6,8,8400,PHI@SA,SA,PHI,GTD,Illness,,
9660,C,Dwight,Howard,38.6,5,8400,DAL@HOU,HOU,DAL,GTD,Rest,,
12337,C,Greg,Monroe,37,9,8200,CLE@MIL,MIL,CLE,,,,
15860,PF,Draymond,Green,33.5,10,8000,BKN@GS,GS,BKN,,,,
9874,PF,Kevin,Love,36.5,8,8000,CLE@MIL,CLE,MIL,,,,
14523,PG,Reggie,Jackson,33.7,8,8000,DET@LAC,DET,LAC,,,,
9621,C,Brook,Lopez,34,8,8000,BKN@GS,BKN,GS,,,,
9688,PF,LaMarcus,Aldridge,29.5,8,8000,PHI@SA,SA,PHI,,,,
15684,SG,Victor,Oladipo,31.8,9,7900,ORL@WAS,ORL,WAS,O,Concussion,,
14514,C,Nikola,Vucevic,32.3,6,7700,ORL@WAS,ORL,WAS,,,,
9561,C,DeAndre,Jordan,32,9,7600,DET@LAC,LAC,DET,,,,
23825,PF,Nerlens,Noel,30.1,6,7400,PHI@SA,PHI,SA,,,,
15595,SG,Brad,Beal,31.6,6,7300,ORL@WAS,WAS,ORL,GTD,Shoulder,,
16201,PG,Michael,Carter-Williams,30,4,7000,CLE@MIL,MIL,CLE,GTD,Ankle,,
14521,PF,Kenneth,Faried,29.8,8,7000,DEN@PHO,DEN,PHO,,,,
14506,PG,Brandon,Knight,32.2,8,7000,DEN@PHO,PHO,DEN,,,,
40199,SG,Giannis,Antetokounmpo,30.6,8,7000,CLE@MIL,MIL,CLE,,,,
9710,C,Tim,Duncan,27,8,6800,PHI@SA,SA,PHI,,,,
9500,PF,Dirk,Nowitzki,31,8,6700,DAL@HOU,DAL,HOU,,,,
58083,C,Jahlil,Okafor,31.6,8,6700,PHI@SA,PHI,SA,,,,
9964,PG,Ty,Lawson,24.3,8,6500,DAL@HOU,HOU,DAL,,,,
19138,PG,Elfrid,Payton,23.2,9,6500,ORL@WAS,ORL,WAS,,,,
14518,SF,Tobias,Harris,27.2,9,6500,ORL@WAS,ORL,WAS,,,,
14509,SG,Klay,Thompson,24.8,10,6500,BKN@GS,GS,BKN,,,,
9637,SF,Danilo,Gallinari,28,8,6500,DEN@PHO,DEN,PHO,,,,
9447,SG,Joe,Johnson,24.7,8,6400,BKN@GS,BKN,GS,,,,
14519,PF,Donatas,Motiejunas,22.7,71,6400,DAL@HOU,HOU,DAL,O,Back,,
9722,PG,Deron,Williams,24.2,7,6400,DAL@HOU,DAL,HOU,,,,
9636,SF,Wilson,Chandler,24.6,78,6200,DEN@PHO,DEN,PHO,O,Hip,,
9484,PG,Mo,Williams,28.7,8,6100,CLE@MIL,CLE,MIL,,,,
14512,SF,Marcus,Morris,30,8,6100,DET@LAC,DET,LAC,,,,
9713,PG,Jarrett,Jack,26.1,7,6100,BKN@GS,BKN,GS,,,,
63124,PG,Emmanuel,Mudiay,26.8,8,6000,DEN@PHO,DEN,PHO,,,,
9661,C,Marcin,Gortat,23,7,6000,ORL@WAS,WAS,ORL,,,,
20491,SF,Robert,Covington,10.4,1,5800,PHI@SA,PHI,SA,O,Knee,,
16261,SF,Khris,Middleton,23.6,9,5700,CLE@MIL,MIL,CLE,,,,
9538,SF,Trevor,Ariza,23.4,8,5700,DAL@HOU,HOU,DAL,,,,
9666,PF,Thaddeus,Young,25.6,8,5700,BKN@GS,BKN,GS,,,,
42550,PF,Jabari,Parker,12.1,4,5600,CLE@MIL,MIL,CLE,GTD,Rest,,
9473,C,Tyson,Chandler,22.3,8,5600,DEN@PHO,PHO,DEN,,,,
23096,SG,Evan,Fournier,28,9,5600,ORL@WAS,ORL,WAS,,,,
15628,SF,Otto,Porter,24,7,5500,ORL@WAS,WAS,ORL,,,,
9454,C,Zaza,Pachulia,25,8,5500,DAL@HOU,DAL,HOU,,,,
14511,PF,Markieff,Morris,21.6,8,5500,DEN@PHO,PHO,DEN,GTD,Knee,,
15757,PF,Terrence,Jones,14.8,3,5400,DAL@HOU,HOU,DAL,,,,
14537,SF,Chandler,Parsons,9.3,5,5400,DAL@HOU,DAL,HOU,GTD,Rest,,
14501,PF,Tristan,Thompson,22.7,8,5400,CLE@MIL,CLE,MIL,,,,
15946,SF,Harrison,Barnes,24.6,10,5300,BKN@GS,GS,BKN,,,,
9799,SG,Wesley,Matthews,16.3,7,5200,DAL@HOU,DAL,HOU,,,,
9506,SG,J.R.,Smith,12.5,5,5200,CLE@MIL,CLE,MIL,,,,
