gId","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
g14656-9524","PG","Stephen","Curry","47.14791666666667","48","10900","HOU@GS","GS","HOU","","","",""
g14656-9644","SG","James","Harden","45.764150943396224","53","10800","HOU@GS","HOU","GS","GTD","Finger","",""
g14656-12332","PG","John","Wall","41.546938775510206","49","10200","WAS@NY","WAS","NY","","","",""
g14656-15860","PF","Draymond","Green","39.3734693877551","49","9100","HOU@GS","GS","HOU","","","",""
g14656-9508","SF","Carmelo","Anthony","37.02127659574468","47","8900","WAS@NY","NY","WAS","","","",""
g14656-14559","PG","Isaiah","Thomas","34.72075471698113","53","8000","BOS@MIL","BOS","MIL","","","",""
g14656-12366","SF","Gordon","Hayward","31.734","50","7900","UTA@DAL","UTA","DAL","","","",""
g14656-12337","C","Greg","Monroe","33.368","50","7900","BOS@MIL","MIL","BOS","","","",""
g14656-9660","C","Dwight","Howard","33.416666666666664","42","7900","HOU@GS","HOU","GS","","","",""
g14656-12363","C","Hassan","Whiteside","32.934090909090905","44","7800","SA@MIA","MIA","SA","GTD","Ankle","",""
g14656-9585","SG","Dwyane","Wade","31.171428571428574","49","7600","SA@MIA","MIA","SA","","","",""
g14656-40203","C","Rudy","Gobert","30.323333333333334","30","7500","UTA@DAL","UTA","DAL","","","",""
g14656-16261","SG","Khris","Middleton","28.79423076923077","52","7300","BOS@MIL","MIL","BOS","","","",""
g14656-14513","SF","Kawhi","Leonard","35.51020408163265","49","7300","SA@MIA","SA","MIA","","","",""
g14656-12351","PF","Derrick","Favors","32.406060606060606","33","7300","UTA@DAL","UTA","DAL","","","",""
g14656-9688","PF","LaMarcus","Aldridge","30.272340425531915","47","7300","SA@MIA","SA","MIA","","","",""
g14656-40199","SF","Giannis","Antetokounmpo","30.326","50","7300","BOS@MIL","MIL","BOS","","","",""
g14656-9718","PF","Chris","Bosh","32.88461538461539","52","7200","SA@MIA","MIA","SA","","","",""
g14656-14509","SG","Klay","Thompson","29.7375","48","6900","HOU@GS","GS","HOU","","","",""
g14656-9661","C","Marcin","Gortat","29.881395348837213","43","6900","WAS@NY","WAS","NY","","","",""
g14656-9500","PF","Dirk","Nowitzki","29.660416666666666","48","6800","UTA@DAL","DAL","UTA","","","",""
g14656-63122","PF","Kristaps","Porzingis","28.556603773584907","53","6700","WAS@NY","NY","WAS","","","",""
g14656-14537","SF","Chandler","Parsons","21.717391304347824","46","6700","UTA@DAL","DAL","UTA","","","",""
g14656-16201","PG","Michael","Carter-Williams","27.544680851063827","47","6200","BOS@MIL","MIL","BOS","","","",""
g14656-15595","SG","Brad","Beal","27.38214285714286","28","6000","WAS@NY","WAS","NY","","","",""
g14656-12359","SF","Evan","Turner","22.22830188679245","53","5900","BOS@MIL","BOS","MIL","","","",""
g14656-9538","SF","Trevor","Ariza","23.634615384615383","52","5800","HOU@GS","HOU","GS","","","",""
g14656-15904","SG","Rodney","Hood","22.835416666666664","48","5800","UTA@DAL","UTA","DAL","","","",""
g14656-9710","C","Tim","Duncan","25.1027027027027","37","5800","SA@MIA","SA","MIA","GTD","Knee","",""
g14656-15800","SF","Jae","Crowder","26.043396226415094","53","5700","BOS@MIL","BOS","MIL","","","",""
g14656-12334","SG","Avery","Bradley","23.5125","48","5700","BOS@MIL","BOS","MIL","","","",""
g14656-9673","PG","Goran","Dragic","24.039534883720933","43","5700","SA@MIA","MIA","SA","","","",""
g14656-9454","C","Zaza","Pachulia","26.546938775510203","49","5700","UTA@DAL","DAL","UTA","","","",""
g14656-16008","PF","Jared","Sullinger","25.01923076923077","52","5600","BOS@MIL","BOS","MIL","","","",""
g14656-9722","PG","Deron","Williams","25.564444444444447","45","5600","UTA@DAL","DAL","UTA","","","",""
g14656-9873","C","Robin","Lopez","20.61111111111111","54","5500","WAS@NY","NY","WAS","","","",""
g14656-15628","SF","Otto","Porter","24.34047619047619","42","5400","WAS@NY","WAS","NY","","","",""
