Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
14786-9642,PG,Russell,Westbrook,49.22456140350877,57,10900,OKC@NO,OKC,NO,,,,
14786-9644,SG,James,Harden,46.47017543859649,57,10900,HOU@POR,HOU,POR,,,,
14786-9524,PG,Stephen,Curry,47.7074074074074,54,10800,GS@ORL,GS,ORL,,,,
14786-15755,PF,Anthony,Davis,44.11,50,10200,OKC@NO,NO,OKC,,,,
14786-9646,SF,Kevin,Durant,45.04600000000001,50,10200,OKC@NO,OKC,NO,,,,
14786-20848,PG,Damian,Lillard,40.524,50,9500,HOU@POR,POR,HOU,,,,
14786-9621,C,Brook,Lopez,36.17368421052632,57,8900,BKN@PHO,BKN,PHO,,,,
14786-14514,C,Nikola,Vucevic,34.71346153846154,52,8500,GS@ORL,ORL,GS,,,,
14786-15860,PF,Draymond,Green,38.45636363636363,55,8400,GS@ORL,GS,ORL,,,,
14786-14559,PG,Isaiah,Thomas,35.0551724137931,58,8200,MIL@BOS,BOS,MIL,,,,
14786-40199,SF,Giannis,Antetokounmpo,31.46727272727273,55,8100,MIL@BOS,MIL,BOS,,,,
14786-9660,C,Dwight,Howard,33.66304347826087,46,8000,HOU@POR,HOU,POR,,,,
14786-12337,C,Greg,Monroe,33.47818181818182,55,7800,MIL@BOS,MIL,BOS,,,,
14786-12366,SF,Gordon,Hayward,32.07142857142857,56,7700,SA@UTA,UTA,SA,,,,
14786-14513,SF,Kawhi,Leonard,35.909615384615385,52,7700,SA@UTA,SA,UTA,,,,
14786-9663,PG,Jrue,Holiday,28.486,50,7700,OKC@NO,NO,OKC,,,,
14786-19067,SG,C.J.,McCollum,32.42545454545455,55,7600,HOU@POR,POR,HOU,,,,
14786-12351,PF,Derrick,Favors,32.92820512820513,39,7600,SA@UTA,UTA,SA,,,,
14786-16261,SG,Khris,Middleton,29.50877192982456,57,7500,MIL@BOS,MIL,BOS,,,,
14786-14509,SG,Klay,Thompson,30.461111111111112,54,7200,GS@ORL,GS,ORL,,,,
14786-9688,PF,LaMarcus,Aldridge,30.443396226415093,53,7200,SA@UTA,SA,UTA,,,,
14786-40203,C,Rudy,Gobert,29.93333333333333,36,7000,SA@UTA,UTA,SA,,,,
14786-15684,SG,Victor,Oladipo,28.219607843137254,51,6900,GS@ORL,ORL,GS,,,,
14786-9666,PF,Thaddeus,Young,30.26140350877193,57,6700,BKN@PHO,BKN,PHO,,,,
14786-14506,PG,Brandon,Knight,31.592857142857145,42,6500,BKN@PHO,PHO,BKN,O,Groin,,
14786-41594,PF,Aaron,Gordon,19.816666666666666,54,6200,GS@ORL,ORL,GS,,,,
14786-15800,SF,Jae,Crowder,26.63448275862069,58,6200,MIL@BOS,BOS,MIL,,,,
14786-16008,PF,Jared,Sullinger,25.68771929824561,57,6100,MIL@BOS,BOS,MIL,,,,
14786-9538,SF,Trevor,Ariza,24.176785714285717,56,6100,HOU@POR,HOU,POR,,,,
14786-15904,SG,Rodney,Hood,23.581481481481482,54,6100,SA@UTA,UTA,SA,,,,
14786-16201,PG,Michael,Carter-Williams,27.525,52,6100,MIL@BOS,MIL,BOS,,,,
14786-12359,SF,Evan,Turner,22.556896551724137,58,5700,MIL@BOS,BOS,MIL,,,,
14786-9957,PF,Serge,Ibaka,25.79298245614035,57,5700,OKC@NO,OKC,NO,,,,
14786-42550,PF,Jabari,Parker,21.452941176470585,51,5600,MIL@BOS,MIL,BOS,,,,
14786-12334,SG,Avery,Bradley,23.616981132075473,53,5600,MIL@BOS,BOS,MIL,,,,
14786-23096,SG,Evan,Fournier,22.887272727272727,55,5500,GS@ORL,ORL,GS,,,,
14786-9710,C,Tim,Duncan,24.25,42,5500,SA@UTA,SA,UTA,,,,
14786-23670,PG,Marcus,Smart,22.48108108108108,37,5400,MIL@BOS,BOS,MIL,GTD,Finger,,
14786-15590,C,Mason,Plumlee,24.049122807017543,57,5400,HOU@POR,POR,HOU,,,,
14786-9447,SG,Joe,Johnson,22.03157894736842,57,5400,BKN@PHO,BKN,PHO,,,,
14786-9702,PG,Tony,Parker,23.51923076923077,52,5300,SA@UTA,SA,UTA,,,,
14786-19138,PG,Elfrid,Payton,24.270588235294117,51,5300,GS@ORL,ORL,GS,,,,
14786-9772,PF,Ryan,Anderson,25.701851851851853,54,5200,OKC@NO,NO,OKC,,,,
14786-23824,SG,Archie,Goodwin,15.42972972972973,37,5100,BKN@PHO,PHO,BKN,,,,
14786-9556,SG,Eric,Gordon,22.40487804878049,41,5000,OKC@NO,NO,OKC,O,Finger,,
14786-14516,C,Enes,Kanter,21.95614035087719,57,5000,OKC@NO,OKC,NO,,,,
