Rank,Name,Team,Position,Salary
1,LeBron James,Cleveland Cavaliers,F,163900
2,Kyle Lowry,Toronto Raptors,G,149900
3,Kawhi Leonard,San Antonio Spurs,F,146000
4,Pau Gasol,Chicago Bulls,C,141200
5,Paul Millsap,Atlanta Hawks,F,130100
6,LaMarcus Aldridge,San Antonio Spurs,F,126300
7,Jimmy Butler,Chicago Bulls,G,122300
8,DeMar DeRozan,Toronto Raptors,G,118800
9,Kyrie Irving,Cleveland Cavaliers,G,116400
10,Al Horford,Atlanta Hawks,C,112300
11,Kenneth Faried,Denver Nuggets,F,111600
12,Alex Len,Phoenix Suns,C,110200
13,Kevin Love,Cleveland Cavaliers,F,109000
14,Eric Bledsoe,Phoenix Suns,G,106400
15,Brandon Knight,Phoenix Suns,G,105100
16,Danilo Gallinari,Denver Nuggets,F,103300
17,Emmanuel Mudiay,Denver Nuggets,G,101200
18,Jeff Teague,Atlanta Hawks,G,97400
19,Will Barton,Denver Nuggets,F,92900
20,D'Angelo Russell,Los Angeles Lakers,G,92700
21,Julius Randle,Los Angeles Lakers,F,92300
22,Tim Duncan,San Antonio Spurs,C,91900
23,Derrick Rose,Chicago Bulls,G,90200
24,Jonas Valanciunas,Toronto Raptors,C,89600
25,Nikola Jokic,Denver Nuggets,C,89200
26,Wilson Chandler,Denver Nuggets,F,88400
27,Kent Bazemore,Atlanta Hawks,F,87300
28,Jordan Clarkson,Los Angeles Lakers,G,86200
29,Devin Booker,Phoenix Suns,G,83500
30,Gary Harris,Denver Nuggets,G,80300
31,P.J. Tucker,Phoenix Suns,F,76000
32,Kobe Bryant,Los Angeles Lakers,F,74600
33,Tristan Thompson,Cleveland Cavaliers,C,74600
34,Dennis Schroder,Atlanta Hawks,G,72100
35,Louis Williams,Los Angeles Lakers,G,69700
36,Nikola Mirotic,Chicago Bulls,F,69500
37,J.R. Smith,Cleveland Cavaliers,G,69300
38,Taj Gibson,Chicago Bulls,F,69000
39,Tony Parker,San Antonio Spurs,G,69000
40,Mirza Teletovic,Phoenix Suns,F,68300
41,Joakim Noah,Chicago Bulls,C,67900
42,Tyson Chandler,Phoenix Suns,C,66900
43,Patty Mills,San Antonio Spurs,G,65200
44,DeMarre Carroll,Toronto Raptors,F,65200
45,Kyle Korver,Atlanta Hawks,G,62900
46,Iman Shumpert,Cleveland Cavaliers,G,62800
47,Jameer Nelson,Denver Nuggets,G,61800
48,Manu Ginobili,San Antonio Spurs,G,60800
49,D.J. Augustin,Denver Nuggets,G,60700
50,T.J. Warren,Phoenix Suns,F,60100
51,Matthew Dellavedova,Cleveland Cavaliers,G,57500
52,Darrell Arthur,Denver Nuggets,F,56600
53,Mike Dunleavy,Chicago Bulls,G,56200
54,Cory Joseph,Toronto Raptors,G,55900
55,Terrence Ross,Toronto Raptors,F,55900
56,Danny Green,San Antonio Spurs,G,55800
57,Bismack Biyombo,Toronto Raptors,C,55800
58,Archie Goodwin,Phoenix Suns,G,55200
59,Jusuf Nurkic,Denver Nuggets,C,55100
60,Brandon Bass,Los Angeles Lakers,F,54900
61,E'Twaun Moore,Chicago Bulls,G,54200
62,Ronnie Price,Phoenix Suns,G,54000
63,David West,San Antonio Spurs,F,52300
64,Bobby Portis,Chicago Bulls,F,52000
65,Timofey Mozgov,Cleveland Cavaliers,C,51800
66,Roy Hibbert,Los Angeles Lakers,C,51600
67,Kris Humphries,Atlanta Hawks,F,50900
68,Joffrey Lauvergne,Denver Nuggets,C,50100
69,Alan Williams,Phoenix Suns,C,50000
70,Kyle Anderson,San Antonio Spurs,F,49500
71,Luis Scola,Toronto Raptors,F,49200
72,Jon Leuer,Phoenix Suns,F,49000
73,Thabo Sefolosha,Atlanta Hawks,F,47600
74,Larry Nance Jr.,Los Angeles Lakers,F,45600
75,Patrick Patterson,Toronto Raptors,F,45200
76,Marcelo Huertas,Los Angeles Lakers,G,44000
77,Kevin Martin,San Antonio Spurs,G,43100
78,Tiago Splitter,Atlanta Hawks,C,42700
79,Doug McDermott,Chicago Bulls,F,42500
80,Channing Frye,Cleveland Cavaliers,F,42000
81,Axel Toupane,Denver Nuggets,G,41000
82,Boris Diaw,San Antonio Spurs,C,40600
83,Chase Budinger,Phoenix Suns,F,38900
84,Aaron Brooks,Chicago Bulls,G,38900
85,Nick Young,Los Angeles Lakers,F,38600
86,Mike Scott,Atlanta Hawks,F,37600
87,Tim Hardaway Jr.,Atlanta Hawks,G,35600
