Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3520,Joe,Johnson,SF,BKN,NO,BKN@NO,7:00PM EST,18,22.1, 
nba.p.3948,Jarrett,Jack,SG,BKN,NO,BKN@NO,7:00PM EST,25,29.1,INJ
nba.p.4129,Andrea,Bargnani,C,BKN,NO,BKN@NO,7:00PM EST,10,9.8, 
nba.p.4290,Thaddeus,Young,PF,BKN,NO,BKN@NO,7:00PM EST,32,30.2, 
nba.p.4472,Brook,Lopez,C,BKN,NO,BKN@NO,7:00PM EST,35,35.3, 
nba.p.4633,Wayne,Ellington,SG,BKN,NO,BKN@NO,7:00PM EST,10,11.7, 
nba.p.4836,Donald,Sloan,PG,BKN,NO,BKN@NO,7:00PM EST,13,14.5, 
nba.p.4913,Bojan,Bogdanovic,SF,BKN,NO,BKN@NO,7:00PM EST,10,15.3, 
nba.p.5011,Thomas,Robinson,PF,BKN,NO,BKN@NO,7:00PM EST,10,8.7, 
nba.p.5146,Willie,Reed,PF,BKN,NO,BKN@NO,7:00PM EST,10,8.6, 
nba.p.5188,Shane,Larkin,PG,BKN,NO,BKN@NO,7:00PM EST,11,16.3, 
nba.p.5189,Sergey,Karasev,SG,BKN,NO,BKN@NO,7:00PM EST,10,2.5, 
nba.p.5355,Markel,Brown,SG,BKN,NO,BKN@NO,7:00PM EST,10,5.9, 
nba.p.5483,Rondae,Hollis-Jefferson,SG,BKN,NO,BKN@NO,7:00PM EST,10,17.3,INJ
nba.p.5489,Chris,McCullough,PF,BKN,NO,BKN@NO,7:00PM EST,10,0.0,INJ
nba.p.3730,Kendrick,Perkins,C,NO,BKN,BKN@NO,7:00PM EST,10,5.3, 
nba.p.4469,Eric,Gordon,SG,NO,BKN,BKN@NO,7:00PM EST,21,23.6,INJ
nba.p.4482,Alexis,Ajinca,C,NO,BKN,BKN@NO,7:00PM EST,10,11.3, 
nba.p.4483,Ryan,Anderson,PF,NO,BKN,BKN@NO,7:00PM EST,25,27.9, 
nba.p.4499,Omer,Asik,C,NO,BKN,BKN@NO,7:00PM EST,10,11.2, 
nba.p.4564,Tyreke,Evans,SG,NO,BKN,BKN@NO,7:00PM EST,29,32.1,GTD
nba.p.4622,Jrue,Holiday,PG,NO,BKN,BKN@NO,7:00PM EST,25,26.9, 
nba.p.4634,Toney,Douglas,SG,NO,BKN,BKN@NO,7:00PM EST,10,12.7, 
nba.p.4638,Dante,Cunningham,SF,NO,BKN,BKN@NO,7:00PM EST,10,10.6, 
nba.p.4686,Alonzo,Gee,SF,NO,BKN,BKN@NO,7:00PM EST,10,11.4, 
nba.p.4731,Luke,Babbitt,SF,NO,BKN,BKN@NO,7:00PM EST,10,7.6, 
nba.p.4757,Quincy,Pondexter,SG,NO,BKN,BKN@NO,7:00PM EST,10,0.0,INJ
nba.p.4910,Norris,Cole,PG,NO,BKN,BKN@NO,7:00PM EST,12,17.7, 
nba.p.5007,Anthony,Davis,PF,NO,BKN,BKN@NO,7:00PM EST,55,43.3,GTD
nba.p.5540,Bryce,Dejean-Jones,SG,NO,BKN,BKN@NO,7:00PM EST,10,8.6, 
nba.p.3173,Tim,Duncan,C,SA,CLE,SA@CLE,8:30PM EST,18,25.2,INJ
nba.p.3380,Manu,Ginobili,SG,SA,CLE,SA@CLE,8:30PM EST,12,20.2, 
nba.p.3527,Tony,Parker,PG,SA,CLE,SA@CLE,8:30PM EST,20,24.0, 
nba.p.3650,Rasual,Butler,SG,SA,CLE,SA@CLE,8:30PM EST,10,6.7, 
nba.p.3721,David,West,PF,SA,CLE,SA@CLE,8:30PM EST,11,15.5, 
nba.p.3724,Boris,Diaw,C,SA,CLE,SA@CLE,8:30PM EST,10,14.8, 
nba.p.3748,Matt,Bonner,PF,SA,CLE,SA@CLE,8:30PM EST,10,4.4, 
nba.p.4130,LaMarcus,Aldridge,PF,SA,CLE,SA@CLE,8:30PM EST,32,29.4, 
nba.p.4651,Danny,Green,SG,SA,CLE,SA@CLE,8:30PM EST,10,17.0, 
nba.p.4660,Patty,Mills,PG,SA,CLE,SA@CLE,8:30PM EST,10,15.2, 
nba.p.4896,Kawhi,Leonard,SF,SA,CLE,SA@CLE,8:30PM EST,45,36.9, 
nba.p.5206,Ray,McCallum,PG,SA,CLE,SA@CLE,8:30PM EST,10,6.6, 
nba.p.5341,Kyle,Anderson,SF,SA,CLE,SA@CLE,8:30PM EST,10,9.2, 
nba.p.5524,Boban,Marjanovic,C,SA,CLE,SA@CLE,8:30PM EST,10,11.7, 
nba.p.5526,Jonathon,Simmons,SF,SA,CLE,SA@CLE,8:30PM EST,10,9.8, 
nba.p.3523,Richard,Jefferson,SF,CLE,SA,SA@CLE,8:30PM EST,10,10.1, 
