Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,g,Unnamed: 13,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,DP_Salary,DP_Position,DD_Salary,DD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
708,Kevin,Garnett,CHI@MIN,MIN,CHI,GTD,Knee,g,,"Garnett, Kevin",3500.0,PF,3000.0,PF,10.33,PF,5000.0,"C,PF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,7.73004720347,18.0367768081,7.98124934052,18.6404763727,7.85889717609,18.354987989,7.73092549286,18.03882615,7.64887926152,17.8707982265,0.403896286622,0.438940778726,4.13361475969,5.53635084278,1.0,0.8,0.6,0.0,0.0,0.05,,,,,,GTD - Knee
977,Kobe,Bryant,LAL@SAS,LAL,SAS,g,,,,"Bryant, Kobe",6700.0,SG,6000.0,SG,26.75,SG,13650.0,"SG,SF",3.32992727223,0.147626382782,4.51874032619,3.44959680801,0.533390447128,2.89343377458,0.912629727773,2.21911913561,3.4268242217,4.97831504993,1.29713012644,14.6637724444,2.85714112276,27.5,14.1109013491,23.1368066397,5.70644820346e-06,23.119374409,25.0555085072,23.2973838762,23.7679394722,26.1196989321,28.306360344,26.3398633924,26.9691626261,26.4918729038,24.0,34.0,20.1769085751,28.5839538147,21.8630418267,31.0003491487,20.3286785124,28.8266677867,20.7429289939,29.3858160747,20.1873523109,28.6354756067,0.47739779658,-0.0365385179081,4.84636195078,10.7456284497,0.4,0.5,0.4,0.6,0.3,0.25,-0.109102709931,-0.118212794065,-0.110635618771,-0.116408114689,-0.122002409603,g - 
1495,Tim,Duncan,LAL@SAS,SAS,LAL,O,Knee,g,,"Duncan, Tim",5800.0,C,5000.0,C,24.33,PF,10600.0,"C,PF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,21.3311812004,34.1298899207,22.2467243589,36.1717334111,21.7133121516,35.3182738795,21.3319580205,34.1311328328,21.5321157354,35.2150118674,0.314813308956,-0.344708816855,5.12501373323,9.64147540826,0.4,0.4,0.45,0.2,0.3,0.25,,,,,,O - Knee
1713,Vince,Carter,DAL@MEM,MEM,DAL,g,,,,"Carter, Vince",3500.0,SF,3000.0,SG,8.63,SG,5000.0,"SG,SF",0.812469564127,0.219873545774,2.59835145456,0.680325064264,0.404117180743,1.45526015236,0.46613411309,0.489939704373,1.8593773331,1.54433835596,0.739306782212,4.52043769692,0.574577995162,13.7857142857,4.40256148929,9.04138384392,4.73333270561e-14,8.73459424856,9.44219063112,8.82756738783,9.10424763967,8.8065033544,9.48619118551,8.89478654739,9.1541891928,9.07409474931,5.0,22.0,3.16798755129,13.9391452257,3.42462717669,15.0688593276,3.20170682938,14.0880097995,3.30205872941,14.5290584094,3.27925632282,14.4293941532,0.523476436959,-0.820359862637,5.8377767255,6.37637951551,0.4,0.6,0.65,0.0,0.0,0.0,-0.00521620456843,-0.00319175005939,-0.00487600121167,-0.00362270333614,-0.00237281178975,g - 
1717,Dirk,Nowitzki,DAL@MEM,DAL,MEM,g,,,,"Nowitzki, Dirk",7000.0,PF,6000.0,PF,29.2,PF,11700.0,"C,PF",1.40797020123,0.744769060243,3.8917030671,3.03529232409,0.555607466612,5.36634573544,0.538482316728,1.05046240981,5.92195320205,5.34486269541,1.64280858638,12.725129453,2.80225355236,29.1428571429,15.1347875296,26.5691392148,1.64987067844e-07,25.869127018,27.6162612695,26.2696257714,26.6905313112,28.1330862722,29.8566920047,28.581118548,28.9096024702,28.7425508989,25.0,36.0,22.1916530792,31.955980434,23.6424471231,34.2773887434,22.4872451027,32.6138978339,22.896289115,32.9706563256,22.7281898759,33.0382743069,-0.0141368804674,-0.122153803944,4.36526106468,7.23532423211,0.4,0.5,0.35,0.2,0.2,0.15,-0.0776848763692,-0.0768775252275,-0.0793159286091,-0.0761445985943,-0.0745778519049,g - 
1889,Andre,Miller,CHI@MIN,MIN,CHI,g,,,,"Miller, Andre",3500.0,PG,3000.0,PG,5.0,PG,5000.0,"PG,SG",1.36112563643,0.0178865661654,0.0929090560915,0.462089610776,0.214361884602,0.481315926211,0.202592907762,0.485018421319,0.695677810813,0.806844381752,0.0228850612798,1.47015200767,0.341098423332,6.42857142857,1.97767224812,4.91421807802,3.22686979107e-17,4.81011460227,5.09885024657,4.84489850527,4.82155713291,4.7752984097,5.12113459548,4.80754189756,4.79112165786,4.95769112385,3.0,22.0,2.24472014773,16.4612810833,2.37946344259,17.4585916411,2.26095262998,16.5895123487,2.25005999536,16.500439966,2.29330176199,16.8298013746,1.13172954889,0.172705589619,8.19621044219,8.01525965592,1.0,1.0,0.75,0.0,0.0,0.2,0.00541585217849,-0.00346645427474,0.00581102786689,0.00473440723085,-0.0067624737957,g - 
1891,Jason,Terry,POR@HOU,HOU,POR,g,,,,"Terry, Jason",3500.0,PG,3200.0,PG,,,,,1.37009047966,0.121010724563,3.37200973644,0.683468196115,0.178733701373,1.06814616186,0.820016358132,0.607573891014,1.24687986323,2.28182739946,1.34560127647,5.31053827811,0.54216216773,17.6428571429,6.45141824313,12.1965195736,4.37562105522e-13,11.2772900729,12.3162227841,11.3396352003,11.9500907111,10.6026997112,11.6979428952,10.661446529,11.2724843961,11.6188915626,9.0,26.0,5.75278764851,16.6191643179,6.28276893924,18.1502818309,5.78459065766,16.7111001286,6.09599769068,17.6106599953,6.22170557036,17.973896692,0.327169841301,-0.215054226988,6.8784736518,6.12743228087,0.6,0.7,0.65,0.0,0.0,0.1,0.0382358909458,0.0350442042269,0.038439843718,0.0384068356709,0.0327400492085,g - 
1897,Metta,World Peace,LAL@SAS,LAL,SAS,g,,,,"World Peace, Metta",3500.0,SF,3000.0,SF,10.3,SF,5000.0,"PF,SF",0.707845302658,0.300667884858,1.57380027125,0.783195905454,0.421299570431,1.42876661876,0.636558527269,0.488444958154,1.85006618919,1.48837542848,0.569817755408,4.49850982635,0.556380795326,15.0714285714,4.10294940769,8.8681151699,1.36330658323e-14,8.7708046548,9.39244258216,8.86331122538,9.05571353251,10.0191579499,10.7488073244,10.1297779658,10.3923198136,10.2821660249,12.0,27.0,6.98338948818,15.7126263484,7.47834055691,16.8274729714,7.05704165672,15.879550446,7.21023636711,16.223031826,7.0608658143,15.8885570379,0.316956782321,-1.29045717993,5.16793985445,5.21369092864,0.8,0.6,0.578947368421,0.0,0.0,0.157894736842,-0.0828291285818,-0.0899957648864,-0.0840309685571,-0.0886847769424,-0.0938232794774,g - 
1938,Manu,Ginobili,LAL@SAS,SAS,LAL,O,Groin,g,,"Ginobili, Manu",4500.0,SG,4100.0,SG,18.15,SG,7800.0,"SG,SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,16.9397131121,27.5270338072,18.1516640953,29.5486461349,17.0587462457,27.7726546294,17.4335025341,28.3294416179,17.7177283515,28.8605245241,0.14954183207,1.21054082319,4.84568056676,7.80488105789,0.6,0.5,0.4,0.0,0.2,0.25,,,,,,O - Groin
2199,Tyson,Chandler,UTA@PHX,PHX,UTA,g,,,,"Chandler, Tyson",4600.0,C,4500.0,C,25.25,C,9000.0,C,0.905559936284,0.636808238917,0.0188783487954,2.00160977852,2.56202317808,4.96302031462,0.459548611342,1.09817304367,7.5250434927,2.14379023296,0.0,4.1991667513,1.2974974647,24.0714285714,5.58507793062,17.3813223394,1.82028714407e-09,17.0680106831,18.0517332582,17.5026467364,17.0680106831,19.0715142398,20.2332548466,19.616838284,19.0715142398,19.5516319601,14.0,34.0,9.92679553084,24.1079320035,10.4655891549,25.7886978166,10.1462391303,25.0131334712,9.92679553084,24.1079320035,10.0645626548,24.9388647922,1.44652441987,3.19650441915,7.99172045425,10.6174513391,0.2,0.2,0.3,0.2,0.3,0.25,-0.0832316017619,-0.0906270096065,-0.087829915925,-0.0832316017619,-0.0901612305317,g - 
