Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,DD_Salary,DD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
1718,Paul,Pierce,LAC@MIA,LAC,MIA,,,"Pierce, Paul",3600.0,SF,3300.0,SF,5500.0,"PF,SF",1.09977621567,0.21647575669,3.46071916219,1.14725856141,0.25002986599,2.43408417579,0.40646289842,0.78135951397,2.68411404178,2.03936807715,1.05456764633,5.66953927124,0.877109810927,17.5,6.01041361155,11.9501329421,2.99382821081e-11,11.3455325814,12.3978722948,11.4799087146,11.8728164046,11.5930432095,12.6615941955,11.7314749209,12.1428586738,12.2513229682,9.0,25.0,5.8348453276,16.2079036878,6.37596108646,17.7153407861,5.90386553096,16.4039642431,6.10601986522,16.9611662923,6.1456659596,17.0770779878,0.448106360263,-0.614778461725,6.26704439195,8.08528125342,0.8,0.5,0.45,0.2,0.3,0.35,-0.0141434644614,-0.0150698228983,-0.0143752117891,-0.0154309868134,-0.0172108586334,-
2034,Mike,Miller,DEN@NYK,DEN,NYK,,,"Miller, Mike",3500.0,SF,3000.0,SG,5000.0,"SG,SF",0.389156330735,0.0266255412849,0.599562400746,0.016957048383,0.0754946515971,0.511263868901,0.125000032457,0.167197164602,0.586758520498,0.27133042678,0.23893253549,0.746506537367,0.0137101059136,4.5,0.795303494965,2.4514654791,2.32342902143e-23,2.21920219855,2.45160497462,2.24854012457,2.33866846629,2.30260210698,2.53734218293,2.33423884009,2.4102643606,2.52695052182,0.0,15.0,0.0,7.39734066182,0.0,8.17201947373,0.0,7.49513664024,0.0,7.79556155431,0.0,8.17155545255,0.979479982761,0.447541962956,5.72518801244,4.49856767328,1.0,1.0,1.0,0.0,0.0,0.0,-0.018533312985,-0.0190527129576,-0.0190441590037,-0.0159101987354,-0.0167744539366,-
2037,Jamal,Crawford,LAC@MIA,LAC,MIA,,,"Crawford, Jamal",4800.0,SG,4800.0,SG,9350.0,"SG,SF",2.34009763235,0.211439177417,4.24269976026,3.32333949554,0.241774470622,1.44497907779,0.677083952186,1.33173228872,1.68675354842,4.46277152319,1.38186453961,11.4838292752,3.05829302382,27.2857142857,13.3657006098,19.6560963773,1.51536824427e-09,19.3452652869,20.7866179695,19.4298195553,20.0361975567,19.6339267324,21.1152412234,19.7219865576,20.3052793783,19.9679798767,19.0,35.0,13.4707868228,24.8146073052,14.4743075526,26.6648685332,13.5295212223,24.9244726617,13.9519071992,25.7008816827,13.6870378118,25.2151914201,0.949375408469,2.53069460183,5.82496386956,10.1127004407,0.0,0.3,0.3,0.8,0.5,0.35,-0.0105792152797,-0.0120437841762,-0.0107076911826,-0.00986163743824,-0.0114302853167,-
2365,Chris,Andersen,LAC@MIA,MIA,LAC,O,Knee,"Andersen, Chris",3500.0,C,3000.0,C,5000.0,"C,PF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.5650755872,7.825377936,1.64223490438,8.21119834658,1.59167617794,7.95840471438,1.57891715442,7.89458577208,1.59148637284,7.95746363041,-0.115043642964,-0.797030008453,3.38765264987,3.4832934607,1.0,0.8,0.65,0.0,0.1,0.1,,,,,,O - Knee
2405,Amar'e,Stoudemire,LAC@MIA,MIA,LAC,,,"Stoudemire, Amar'e",4400.0,PF,4200.0,PF,8100.0,"C,PF",0.77625753403,0.590115524648,0.0229107751314,2.80592872958,2.15737771545,4.11007342556,0.444740864694,1.30120031606,6.267451141,4.30237664924,7.11290132877e-05,7.83617630036,2.0840977583,21.7142857143,10.6889221858,20.1815352244,8.12070413121e-10,20.1427623187,21.2107481374,20.5601124148,20.1427978832,20.1762447537,21.2638935698,20.5705894792,20.1762765126,20.2685685055,6.0,24.0,5.56576327227,22.2630530891,5.83213440972,23.5114069123,5.65235348639,22.792283219,5.5657730993,22.2630923972,5.53816989584,22.396505274,1.05575232908,0.331592492319,6.56888100276,8.12944436063,0.0,0.3,0.65,0.6,0.4,0.2,-0.00154195424589,-0.00244748701927,-0.000482496382972,-0.0015417789845,-0.00400811163096,-
2406,Caron,Butler,SAC@BOS,SAC,BOS,,,"Butler, Caron",3500.0,SF,3000.0,SF,5000.0,SF,0.279213862213,0.0123751032405,0.869254252152,0.254893634913,0.166571197426,0.768646836313,0.27197385526,0.240481065891,0.935218033739,0.872837008378,0.272962148086,2.11834316736,0.195533871211,7.28571428571,2.21417003605,4.19721642468,9.09051525323e-22,4.08346932097,4.38695183089,4.1302302239,4.21995039501,4.04826686292,4.33746001652,4.09373769093,4.18854353618,4.17532600252,5.0,19.0,2.80238090655,10.6490474449,3.01065321643,11.4405552242,2.83447172144,10.7710655433,2.89604438873,11.0049686772,2.88044264326,10.9457793801,1.06486391894,0.0140780779008,4.76969600708,5.44880211096,0.8,0.7,0.65,0.0,0.0,0.05,0.00483170992821,0.00679299412954,0.00500877903556,0.00431074533061,0.00300456774745,-
2546,Carmelo,Anthony,DEN@NYK,NYK,DEN,O,Knee,"Anthony, Carmelo",9000.0,SF,8500.0,SF,16050.0,"PF,SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,32.011202749,45.7302896415,34.0457705176,49.1637177224,32.5045227351,46.9619351759,32.5542383777,46.5060548253,32.3760442999,46.9153113716,-0.516399119447,-0.444483787547,5.22054654995,9.67833204179,0.2,0.2,0.1,0.2,0.3,0.2,,,,,,O - Knee
2547,Chris,Bosh,LAC@MIA,MIA,LAC,,,"Bosh, Chris",7400.0,PF,7100.0,PF,12850.0,"C,PF",2.11714621337,0.385260869368,4.37892777805,5.12378832718,0.937853568795,6.39648302259,0.535284649829,1.29968679665,7.33433659138,7.26109145511,1.6196112882,15.3328510154,4.16477798918,33.1428571429,20.3065721876,33.60486671,1.48481702719e-05,32.8248996591,34.9524038104,33.492754768,33.6347053032,32.1506608617,34.2242825272,32.8086663825,32.8738110693,32.8885580471,29.0,39.0,28.7217872017,38.625851754,30.4849671446,41.3184149913,29.2077742325,39.6008107302,29.4303671403,39.5787696024,29.2730973422,39.7956010854,-0.188896123042,-0.110644007619,3.93097303725,7.99869106939,0.4,0.3,0.15,0.0,0.0,0.15,0.0203434119898,0.0219691766488,0.0206405978366,0.022958015677,0.0216127613827,-
2548,Dwyane,Wade,LAC@MIA,MIA,LAC,,,"Wade, Dwyane",7800.0,SG,7200.0,SG,13650.0,"PG,SG",5.38869210475,0.457497101453,0.697956986791,5.88288956742,1.13416534629,2.75850285351,0.994461553298,2.53684201121,3.8926681998,6.52126317183,0.172522786123,14.6451216314,4.49485732913,30.2857142857,17.7099064589,30.195307801,0.000315521957734,30.8312217541,32.4608719854,31.1061895868,30.9174831471,31.3910821535,33.0739871555,31.6431070585,31.4781840159,30.6996524342,25.0,36.0,25.4503009762,36.6484334058,26.7530362021,38.6969999024,25.6347842221,37.0867170512,25.5215073149,36.7509705334,24.8691814566,36.037280191,-0.141992521758,-0.295567392489,3.93379384851,10.1754134128,0.0,0.2,0.3,0.2,0.3,0.25,-0.0184859565843,-0.020244368824,-0.0177284070854,-0.0185137079321,-0.0166528888308,-
2594,Kyle,Korver,ATL@ORL,ATL,ORL,,,"Korver, Kyle",3700.0,SG,4100.0,SG,7650.0,"SG,SF",2.05936609124,0.46044178492,4.65799750896,0.864085352544,0.126614085458,2.88970875669,0.741955089581,1.19077768741,3.01632284215,2.91740122589,1.9138725297,6.57950647267,0.716104251942,26.8571428571,8.46477923342,18.0960981446,3.11942999849e-08,16.3874318425,18.09140592,16.5390808115,17.3443681073,15.9848264509,17.6472775882,16.1401254625,16.8693994681,17.5051597788,24.0,35.0,14.6440880294,21.3559617096,16.1663412268,23.5831077168,14.7791570872,21.5601308466,15.499222564,22.6030329058,16.1703853114,23.5913985987,0.961499225839,2.83671350184,4.50378525605,7.48295914402,0.4,0.2,0.3,0.2,0.6,0.4,0.0149906262828,0.0165366932076,0.0148547204422,0.0176850025219,0.0220030242611,-
