Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,YH_Salary,YH_Position,Time,DP_Salary,DP_Position,DD_Salary,DD_Position,FA_Salary,FA_Position,FF_Salary,FF_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_FA,PROJ_FF,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_UNADJ_FA,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_FLOOR_FA,PROJ_CEIL_FA,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,PROJ_UNADJ_FF,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,ADJ_FA,ADJ_FF,Status
1713,Vince,Carter,MEM@BOS,MEM,BOS,,,"Carter, Vince",3700.0,SF,3700.0,SG,10.0,SG,7:00PM EST,16.5,SG,6150.0,"SG,SF",3800.0,SG,,,1.04451932485,0.404445125171,3.74538571387,1.47701160401,0.59275602845,2.4057287652,0.827497190934,0.851839940011,2.99848479365,2.55065580437,1.05924789584,7.22672134105,1.32459796092,21.2857142857,7.4851574655,14.6909422295,7.46751199042e-11,14.2621628973,15.3682363212,14.4126924033,14.7917868453,14.412087137,14.412087137,14.299647871,15.4213926158,14.4400416187,14.8759826709,14.8136127289,14.4396683756,6.0,23.0,4.0202069912,15.4107934663,4.33181546557,16.606517057,4.06246751556,15.5740165819,4.16949696309,15.9830716919,4.14084348199,15.8748659323,4.06246751513,15.5727921413,0.561086207649,-0.583369425829,6.68656122458,7.80306337151,0.6,0.3,0.4,0.4,0.5,0.25,,-0.00176103902957,-0.00249727558199,-0.00128486246949,-0.00395550858784,-0.00576304359423,-0.00129576288772,,-
1717,Dirk,Nowitzki,DET@DAL,DAL,DET,,,"Nowitzki, Dirk",6700.0,PF,5800.0,PF,24.0,PF,8:30PM EST,31.25,PF,11900.0,"C,PF",4950.0,PF,,,1.69329507142,0.663064710637,4.22977300065,3.53338465494,0.749964790783,5.41278821159,0.546147761812,1.11705712183,6.16275300238,7.43546052053,1.69570980679,15.5612177021,3.13119243742,31.2142857143,19.6978232853,31.550662521,1.07595145814e-06,30.9344373183,32.7883374476,31.3819539833,31.7822922217,31.2425749684,31.2425749684,29.9945680421,31.9170769965,30.5043065962,30.8265061721,30.718031871,30.3222658325,25.0,37.0,24.7758651291,36.6682803911,26.1892350016,39.0008284926,25.0628409227,37.3337652558,25.4549251204,37.6732891781,25.1741480878,37.5787343918,25.0226572974,37.0335328001,0.0354061379737,-0.297818632916,4.9682902538,7.3088624737,0.2,0.2,0.35,0.2,0.3,0.25,,0.0301102285297,0.0279122341326,0.0281168499316,0.0306201480441,0.026674666132,0.0294835878805,,-
1718,Paul,Pierce,LAC@OKC,LAC,OKC,,,"Pierce, Paul",3500.0,SF,3100.0,SF,10.0,SF,9:30PM EST,13.45,SF,5750.0,"PF,SF",3500.0,SF,45900.0,F,1.09311035655,0.196772199011,3.38616836327,1.21833716686,0.191396702574,2.17120891863,0.483732284745,0.756342422173,2.3626056212,2.21758903393,1.12784082299,5.97393668821,0.982675835481,17.2857142857,6.54569472633,12.2513947763,1.26108206051e-11,11.6251535519,12.6854513223,11.7433596997,12.1890739634,11.743283833,11.743283833,11.3725732111,12.4324915634,11.5077758492,11.9161119891,12.0451966679,11.5075967948,9.0,24.0,6.05276589895,16.1407090639,6.60478232253,17.6143745251,6.11427180829,16.3063464872,6.34637735287,16.923672941,6.37877279229,17.0122229897,6.11427174776,16.3047246607,0.399671086736,-0.507415362499,5.8509351012,7.63880026447,0.6,0.6,0.55,0.2,0.1,0.2,,0.0146120858367,0.0146340356402,0.0136288177978,0.0157911885958,0.0119288161857,0.0136347873344,,-
1891,Jason,Terry,HOU@PHI,HOU,PHI,,,"Terry, Jason",3500.0,PG,3000.0,PG,10.0,SG,7:00PM EST,10.85,PG,5000.0,"PG,SG",3300.0,PG,,,1.57606902719,0.128899412107,3.92912000136,0.715983590883,0.170923685527,1.10334220039,0.85132568197,0.847578142166,1.27426588592,2.44502479944,1.44738546077,5.82080181733,0.606587408599,18.9285714286,6.94402246826,13.0137163724,2.06121698875e-12,11.9501171181,13.16131576,12.0138339585,12.6738098485,12.0138304124,12.0138304124,11.2123249462,12.3765536908,11.2741325491,11.922265754,12.2392320008,11.2741306668,9.0,26.0,5.68194247881,16.4145004943,6.2578314685,18.0782655785,5.7122363478,16.5021018965,6.02603789023,17.4085539051,6.18765157525,17.8755522567,5.71223634704,16.5020161137,0.377233834569,-0.313700473911,6.78527176444,6.05238021285,0.8,0.8,0.75,0.2,0.2,0.1,,0.0389776996482,0.0414591281838,0.0390785650284,0.0397042163147,0.0409161554819,0.0390784771268,,-
2037,Jamal,Crawford,LAC@OKC,LAC,OKC,,,"Crawford, Jamal",4900.0,SG,5000.0,SG,18.0,SG,9:30PM EST,23.28,SG,8200.0,"SG,SF",4300.0,SG,72400.0,G,2.34189056772,0.0862498360569,4.484207162,3.63937209413,0.25262156451,1.60849278113,0.728645644849,1.3927643805,1.86111434564,4.93453319816,1.38893856576,12.778911729,3.40161293719,27.2857142857,14.6596178993,20.8009950131,3.7248612663e-09,20.6428175469,22.1269763041,20.7361248309,21.3372868298,20.7358732642,20.7358732642,19.906274169,21.4051781339,19.9991279993,20.5853315453,20.177763604,19.9989652832,19.0,36.0,14.3743179777,27.2355498525,15.4076234315,29.1957183936,14.4391247617,27.3606682824,14.8579013003,28.1518129901,14.4842407,27.4469260154,14.4391159379,27.358324935,0.574279081452,1.42483862054,6.15849192086,10.1935722844,0.2,0.2,0.25,0.4,0.5,0.5,,0.0269937363633,0.0264533360804,0.0270103550875,0.027558570636,0.0228409416938,0.0270070987818,,-
2199,Tyson,Chandler,NYK@PHX,PHX,NYK,,,"Chandler, Tyson",4400.0,C,4400.0,C,10.0,C,9:00PM EST,20.58,C,9050.0,C,4100.0,C,,,0.750092884407,0.633194555946,0.0111308828293,2.56284831852,2.76932674104,5.76811895924,0.455312810098,1.03723677219,8.53744570028,2.66045600648,0.0,4.73316745413,1.6606745418,23.8571428571,6.98158655475,19.9096355303,1.03344609071e-09,19.4914386816,20.599249967,20.0806315809,19.4914386816,19.9183109666,19.9183109666,19.1140315155,20.3182751402,19.6770980801,19.1140315155,19.6425818977,19.5396154603,14.0,33.0,11.4380897652,26.9612115895,11.9960620955,28.9154184301,11.6917231624,28.1980480876,11.4380897652,26.9612115895,11.5606713358,28.102135496,11.688589669,27.5516756484,1.17215827566,2.45350117415,7.77752010634,10.285900049,0.4,0.3,0.25,0.4,0.5,0.45,,0.015819462053,0.011777387952,0.016914577879,0.015819462053,0.0111938648387,0.0158734643377,,-
2207,Joe,Johnson,MIA@MIL,MIA,MIL,,,"Johnson, Joe",5200.0,SG,5300.0,SF,16.0,SF,8:00PM EST,22.15,SF,9800.0,"SG,SF",4650.0,SF,,,4.1622252979,0.0521783400647,4.13405907028,1.95739380745,0.548441403319,2.83534335639,0.65066512561,2.22225729893,3.38378475971,4.23843894385,1.74704526234,9.99168572754,1.68130204279,31.0714285714,11.9052251928,22.9316580143,1.99599746951e-05,21.3925344837,23.5607262057,21.5760749251,22.2660571149,21.5617237217,21.5617237217,20.499884906,22.2947588371,20.6894986511,21.1926748022,21.4980376334,20.6810005083,26.0,39.0,17.9008794301,26.8513191451,19.7066340969,29.624722955,18.0459144046,27.1336434166,18.6318271031,27.9477406546,19.1774226754,28.8516559002,18.0424538729,27.0636808093,0.361180931032,0.452550030481,4.85607232158,9.88191249739,0.6,0.4,0.35,0.2,0.4,0.35,,0.0287289519259,0.0407437773808,0.0285334892777,0.0345456376495,0.0461395065123,0.0283451149151,,-
2210,Richard,Jefferson,CLE@SAC,CLE,SAC,,,"Jefferson, Richard",3500.0,SF,3000.0,SF,10.0,SF,10:00PM EST,9.25,SF,5000.0,"SG,SF",3300.0,SF,35000.0,F,0.570032719239,0.161840310442,1.77947461497,0.863792015445,0.134767903765,0.942011433232,0.33561285798,0.432388387193,1.076779337,1.37931960164,0.739955855829,2.97876124729,0.529105908789,11.7142857143,4.0277009679,7.26386031871,1.18574037133e-17,6.7374032008,7.37741431894,6.79124219743,7.10738112872,6.79124216765,6.79124216765,6.29687298624,6.85440344855,6.35452286478,6.5994350712,6.71144818071,6.35452282353,8.0,30.0,4.60115340543,17.2543252703,5.03823414901,18.8939201037,4.63792148066,17.3927475974,4.85382125864,18.2018297199,4.960685069,18.603291733,4.63792148035,17.3922055513,0.546150114255,-0.346080275817,8.3386431964,5.84157657991,0.8,0.8,0.75,0.2,0.2,0.15,,0.0376062378283,0.0446472694237,0.0372809186412,0.0433612488124,0.0471571337316,0.0372809196207,,-
2216,Zach,Randolph,MEM@BOS,MEM,BOS,GTD,Knee,"Randolph, Zach",6500.0,PF,6600.0,PF,25.0,C,7:00PM EST,32.33,PF,12050.0,"C,PF",5300.0,PF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,36.0,20.9231583057,34.2378954093,21.8472987945,36.3715444229,21.3247225053,35.516419586,20.9479590126,34.2784783843,20.5512164598,34.457706163,21.2271409877,34.7353216162,0.495568091775,0.343301948348,5.42400216618,9.2944522219,0.2,0.1,0.3,0.4,0.4,0.4,0.0,,,,,,,,GTD - Knee
2365,Chris,Andersen,MEM@BOS,MEM,BOS,O,Shoulder,"Andersen, Chris",3500.0,C,3300.0,C,10.0,PF,7:00PM EST,11.85,C,5000.0,"C,PF",3300.0,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,2.35814026937,21.2232624244,2.45795531674,22.2456090063,2.39903821806,21.7153551182,2.3680859033,21.3127731297,2.38712652579,21.6494866167,2.39903821806,21.5913439625,0.716457562875,-0.0159823047055,8.54400374532,6.39602741291,0.2,0.5,0.6,0.4,0.2,0.15,0.0,,,,,,,,O - Shoulder
