Team,PGPTS,PGRK,SGPTS,SGRK,SFPTS,SFRK,PFPTS,PFRK,CPTS,CRK,
WAS,40.10,10,39.16,25,43.31,29,43.48,18,41.48,7
UTA,37.50,6,31.83,2,34.75,10,38.56,4,40.35,4
TOR,37.46,5,37.81,19,34.02,9,40.51,10,47.44,19
SA,45.44,26,29.20,1,31.22,2,38.09,3,40.18,2
SAC,41.11,16,40.14,28,37.92,19,48.68,26,50.30,26
POR,42.74,20,39.65,26,32.41,5,42.08,14,51.34,28
PHO,41.28,17,37.25,18,40.97,26,37.16,2,41.99,8
PHI,42.54,18,33.51,4,45.89,30,49.90,28,51.49,29
ORL,45.74,28,33.63,5,35.85,15,41.56,12,48.53,21
OKC,40.86,13,40.29,29,35.97,16,42.92,17,40.52,5
NY,40.22,12,36.31,14,32.72,6,39.41,6,43.79,11
NO,48.30,30,36.38,15,38.39,21,43.65,20,51.12,27
MIN,41.02,14,35.75,10,35.28,14,41.64,13,45.05,14
MIL,38.33,7,34.53,6,41.50,27,47.10,24,44.51,13
MIA,36.17,3,32.16,3,39.13,22,40.13,7,43.80,12
MEM,43.19,21,35.61,9,37.07,18,45.32,22,41.21,6
LAL,45.87,29,36.08,12,40.08,24,47.20,25,49.74,24
LAC,42.58,19,38.78,24,35.04,12,43.70,21,47.39,18
IND,34.35,2,38.48,23,33.81,8,40.45,9,46.80,17
HOU,44.63,24,38.30,22,41.63,28,50.51,30,48.59,22
GS,45.19,25,35.48,8,32.37,4,41.25,11,42.97,9
DET,38.72,9,37.06,17,31.19,1,45.81,23,39.84,1
DEN,45.66,27,43.56,30,33.27,7,42.64,16,47.78,20
DAL,40.22,11,34.72,7,31.63,3,48.88,27,43.08,10
CLE,37.24,4,36.30,13,36.78,17,39.03,5,40.34,3
CHI,44.36,23,36.89,16,40.46,25,36.53,1,49.29,23
CHA,38.50,8,36.02,11,35.20,13,50.44,29,45.15,15
BKN,43.63,22,39.71,27,39.81,23,40.45,8,50.25,25
BOS,33.48,1,37.84,20,38.02,20,42.26,15,45.61,16
ATL,41.10,15,38.17,21,34.97,11,43.52,19,51.55,30
