date,field_size,entry_fee,cash_line,slate
2015-10-28,100,1,252.6,
2015-10-28,100,1,247.9,
2015-10-28,100,1,264.8,
2015-10-30,100,1,242.1,
2015-10-30,100,1,245.3,
2015-10-30,100,1,252.1,
2015-10-30,100,1,243.4,
2015-10-31,100,1,280.2,
2015-10-31,100,1,282.8,
2015-10-31,100,1,277.9,
2015-10-31,100,1,275.1,
2015-10-31,100,1,274.6,
2015-11-01,100,1,265.1,
2015-11-01,100,1,267.2,
2015-11-01,100,1,259.7,
2015-11-01,100,1,258.7,
2015-11-01,100,1,246.6,
2015-11-01,100,1,257.9,
2015-11-02,100,1,263.3,
2015-11-02,100,1,270.4,
2015-11-02,100,1,269.0,
2015-11-03,100,1,267.8,
2015-11-03,100,1,270.3,
2015-11-03,100,1,280.3,
2015-11-03,100,1,275.5,
2015-11-03,100,1,275.5,
2015-11-03,100,1,269.1,
2015-11-04,100,1,277.6,
2015-11-04,100,1,273.1,
2015-11-04,100,1,274.9,
2015-11-05,100,1,251.0,
2015-11-05,100,1,250.4,
2015-11-05,100,1,248.4,
2015-11-05,100,1,252.2,
2015-11-05,100,1,252.8,
2015-11-05,100,1,246.0,
2015-11-06,100,1,280.4,
2015-11-06,100,1,283.2,
2015-11-06,100,1,285.3,
2015-11-06,100,1,274.3,
2015-11-06,100,1,289.1,
2015-11-06,100,1,287.2,
2015-11-07,100,1,281.8,
2015-11-07,100,1,287.7,
2015-11-07,100,1,289.6,
2015-11-08,100,1,275.6,
2015-11-08,100,1,277.7,
2015-11-08,100,1,275.6,
2015-11-08,100,1,275.6,
2015-11-08,100,1,275.7,
2015-11-08,100,1,275.7,
2015-11-09,100,1,260.1,
2015-11-09,100,1,267.3,
2015-11-09,100,1,269.0,
2015-11-09,100,1,266.0,
2015-11-09,100,1,270.6,
2015-11-09,100,1,270.8,
2015-11-10,100,1,248.2,
2015-11-10,100,1,247.5,
2015-11-10,100,1,247.6,
2015-11-10,100,1,247.9,
2015-11-10,100,1,247.9,
2015-11-10,100,1,247.9,
2015-11-11,100,1,291.3,
2015-11-11,100,1,290.3,
2015-11-11,100,1,294.1,
2015-11-11,100,1,295.5,
2015-11-12,100,1,273.3,
2015-11-12,100,1,273.5,
2015-11-13,100,1,274.4,
2015-11-13,100,1,275.1,
2015-11-13,100,1,266.2,
2015-11-14,100,1,271.2,
2015-11-15,100,1,254.7,
2015-11-15,100,1,259.1,
2015-11-15,100,1,254.7,
2015-11-16,100,1,278.2,
2015-11-16,100,1,274.6,
2015-11-16,50,1,274.9,
2015-11-16,50,1,273.3,
2015-11-18,100,1,311.0,
2015-11-18,100,1,308.9,
2015-11-18,100,1,323.4,
2015-11-19,100,1,284.6,
2015-11-19,100,1,281.1,
2015-11-19,100,1,283.9,
2015-11-20,100,1,271.7,
2015-11-20,100,1,274.7,
2015-11-20,100,1,272.1,
2015-11-21,100,1,278.9,
2015-11-21,100,1,280.4,
2015-11-21,100,2,280.1,
2015-11-22,100,2,289.4,
2015-11-22,100,2,294.5,
2015-11-22,100,1,285.2,
2015-11-23,100,1,274.9,
2015-11-23,100,1,280.6,
2015-11-23,100,1,282.9,
2015-11-24,100,2,260.7,
2015-11-24,100,2,262.0,
2015-11-24,100,2,256.7,
2015-11-24,100,1,254.5,
2015-11-24,100,1,255.5,
2015-11-24,50,1,256.0,
2015-11-25,100,1,284.9,
2015-11-25,100,1,288.4,
2015-11-25,100,1,289.1,
2015-11-25,100,2,295.4,
2015-11-25,100,1,286.4,
2015-11-25,100,2,294.1,
2015-11-27,100,1,254.4,
2015-11-27,100,1,276.7,
2015-11-27,100,1,285.5,
2015-11-29,100,1,278.6,
2015-11-29,100,2,285.2,
2015-11-29,100,5,280.5,
2015-11-30,100,1,260.5,
2015-11-30,100,1,260.5,
2015-11-30,100,2,260.5,
2015-12-01,100,1,251.4,
2015-12-01,100,1,248.7,
2015-12-01,100,2,253.7,
2015-12-02,100,2,275.3,
2015-12-02,100,2,271.8,
2015-12-02,100,1,268.6,
2015-12-03,100,2,242.2,
2015-12-03,100,1,243.7,
2015-12-03,100,1,244.3,
2015-12-04,100,1,271.1,
2015-12-04,100,1,274.5,
2015-12-04,100,2,272.1,
2015-12-05,100,1,275.4,
2015-12-05,100,2,274.9,
2015-12-05,100,1,273.4,
2015-12-06,100,1,266.1,
2015-12-06,100,1,265.9,
2015-12-06,100,2,268.8,
2015-12-07,100,1,252.1,
2015-12-07,100,1,254.5,
2015-12-07,100,2,249.3,
2015-12-12,100,1,262.0,main
2015-12-12,100,1,258.6,main
2015-12-12,100,1,262.1,main
2015-12-13,100,1,263.1,allday
2015-12-13,100,1,262.7,allday
2015-12-13,100,1,261.8,allday
2015-12-13,100,1,270.9,main
2015-12-13,100,1,271.3,main
2015-12-13,100,1,268.0,main
2015-12-14,100,1,280.6,main
2015-12-14,100,1,277.9,main
2015-12-14,100,1,281.2,main
2015-12-14,100,1,280.8,main
2015-12-14,100,1,272.1,main
2015-12-15,100,1,266.4,main
2015-12-15,100,1,269.9,main
2015-12-15,100,1,264.5,main
2015-12-16,100,1,251.8,main
2015-12-16,100,1,249.6,main
2015-12-16,100,1,246.1,main
2015-12-16,50,1,245.5,main
2015-12-16,100,1,241.7,main
2015-12-17,50,1,296.4,main
2015-12-17,50,1,285.5,main
2015-12-17,100,1,289.1,main
2015-12-17,50,1,294.6,main
2015-12-17,100,1,292.9,main
2015-12-17,100,1,299.7,main
2015-12-17,100,1,283.7,main
2015-12-17,50,1,284.4,main
2015-12-17,100,1,287.5,main
2015-12-18,100,1,257.0,main
2015-12-18,100,1,257.5,main
2015-12-18,100,1,261.8,main
2015-12-18,100,1,261.2,main
2015-12-18,100,1,256.4,main
2015-12-18,100,1,253.7,main
2015-12-18,100,1,257.5,main
2015-12-18,100,1,255.2,main
2015-12-18,100,1,258.1,main
2015-12-19,100,1,274.0,main
2015-12-19,100,1,270.2,main
2015-12-19,100,1,272.8,main
2015-12-19,100,1,272.5,main
2015-12-19,100,1,270.2,main
2015-12-19,100,1,270.2,main
2015-12-19,100,1,272.8,main
2015-12-19,100,1,272.2,main
2015-12-19,100,1,273.6,main
2015-12-19,100,1,274.7,main
2015-12-20,100,1,299.6,main
2015-12-20,100,1,303.2,main
2015-12-20,100,1,303.4,main
2015-12-20,100,1,237.3,early
2015-12-20,100,1,237.3,early
2015-12-20,100,1,247.2,early
2015-12-21,100,1,287.9,main
2015-12-21,100,1,284.4,main
2015-12-21,100,1,284.4,main
2015-12-21,100,1,286.6,main
2015-12-21,100,1,287.6,main
2015-12-21,100,1,243.1,express
2015-12-21,100,1,250.2,express
2015-12-22,50,1,254.0,main
2015-12-22,50,1,254.9,main
2015-12-22,100,1,255.9,main
2015-12-22,100,1,248.9,main
2015-12-22,50,1,249.7,main
2015-12-23,100,1,279.9,main
2015-12-25,100,1,255.7,main
2015-12-25,100,1,253.6,main
2015-12-25,100,1,254.0,main
2015-12-25,100,1,253.6,main
2015-12-25,100,1,258.0,main
2015-12-25,100,1,254.0,main
2015-12-25,100,1,250.0,main
2015-12-25,100,1,253.5,main
2015-12-25,100,1,256.5,main
2015-12-25,100,1,253.7,main
2015-12-25,100,1,254.1,main
2015-12-25,100,1,252.0,main
2015-12-26,100,1,277.9,early
2015-12-26,50,1,279.7,early
2015-12-26,100,1,280.8,early
2015-12-26,100,1,280.3,early
2015-12-26,100,1,280.3,early
2015-12-26,100,1,282.0,early
2015-12-26,100,1,277.3,main
2015-12-26,100,1,278.6,main
2015-12-26,100,1,279.8,main
2015-12-26,100,1,288.7,main
2015-12-26,100,1,284.9,main
2015-12-26,100,1,280.4,main
2015-12-26,100,1,281.5,main
2015-12-27,100,1,298.2,main
2015-12-27,100,1,296.0,main
2015-12-27,100,1,300.8,main
2015-12-27,100,1,297.1,main
2015-12-27,50,1,299.8,main
2015-12-27,100,1,301.3,main
2015-12-27,50,1,291.8,main
2015-12-27,100,1,305.5,main
2015-12-27,100,1,305.7,main
2015-12-27,100,1,297.4,main
2015-12-28,50,1,253.6,express
2015-12-28,50,1,253.6,express
2015-12-28,100,1,256.8,express
2015-12-28,100,1,247.8,express
2015-12-28,100,1,250.4,express
2015-12-28,100,1,277.0,late
2015-12-28,100,1,274.7,late
2015-12-28,100,1,276.7,main
2015-12-28,100,1,275.8,main
2015-12-28,100,1,278.4,main
2015-12-28,100,1,274.4,main
2015-12-28,100,1,282.8,main
2015-12-28,100,1,276.6,main
2015-12-29,100,1,300.0,main
2015-12-30,100,1,267.9,main
2015-12-30,100,1,265.3,main
2015-12-30,100,1,260.5,main
2015-12-30,100,1,260.5,main
2015-12-30,100,1,260.5,main
2015-12-31,100,1,301.1,main
2015-12-31,100,1,299.2,main
2015-12-31,100,1,301.1,main
2016-01-01,100,1,258.5,main
2016-01-01,100,1,257.3,main
2016-01-01,100,1,258.8,main
2016-01-01,50,1,257.3,main
2016-01-01,50,1,256.9,main
2016-01-01,50,1,257.3,main
2016-01-01,100,1,258.4,main
2016-01-01,100,1,257.3,main
2016-01-01,50,1,258.5,main
2016-01-01,50,1,263.9,main
2016-01-02,100,1,273.8,allday
2016-01-02,100,1,261.3,allday
2016-01-02,100,1,277.9,allday
2016-01-02,100,1,255.2,main
2016-01-02,100,1,256.6,main
2016-01-02,100,1,258.2,main
2016-01-02,100,1,258.8,main
2016-01-02,100,1,258.8,main
2016-01-02,100,1,258.6,main
2016-01-02,50,1,268.0,main
2016-01-02,50,1,259.1,main
2016-01-02,50,1,255.2,main
2016-01-02,100,1,256.5,main
2016-01-02,50,1,265.3,main
2016-01-02,50,1,256.0,main
2016-01-02,100,1,256.4,main
2016-01-02,50,1,260.1,main
2016-01-02,100,1,259.3,main
2016-01-02,100,1,254.7,main
2016-01-03,100,1,268.1,early
2016-01-03,100,1,262.7,early
2016-01-03,100,1,260.7,early
2016-01-03,100,1,266.7,early
2016-01-03,100,1,265.6,early
2016-01-03,100,1,265.6,early
2016-01-03,50,1,238.4,main
2016-01-03,100,1,236.7,main
2016-01-03,100,1,233.5,main
2016-01-03,100,1,231.6,main
2016-01-03,50,1,233.5,main
2016-01-03,50,1,233.2,main
2016-01-03,50,1,218.8,late
2016-01-03,50,1,218.8,late
2016-01-03,50,1,218.8,late
2016-01-03,50,1,218.8,late
2016-01-04,100,1,295.1,main
2016-01-04,100,1,296.3,main
2016-01-04,100,1,286.6,main
2016-01-04,100,1,295.2,main
2016-01-04,100,1,297.0,main
2016-01-04,50,1,295.1,main
2016-01-04,100,1,298.0,main
2016-01-04,100,1,294.3,main
2016-01-05,100,1,311.9,main
2016-01-05,100,1,314.9,main
2016-01-05,100,1,320.7,main
2016-01-05,100,1,317.8,main
2016-01-05,100,1,314.5,main
2016-01-05,100,1,318.9,main
2016-01-06,100,1,275.1,main
2016-01-06,100,1,271.4,main
2016-01-06,100,1,274.0,main
2016-01-06,100,1,272.6,main
2016-01-06,100,1,268.8,main
2016-01-06,100,1,266.2,main
2016-01-06,50,1,274.5,main
2016-01-06,50,1,271.6,main
2016-01-06,50,1,272.2,main
2016-01-06,100,1,262.2,main
2016-01-06,100,1,266.2,main
2016-01-06,50,1,272.2,main
2016-01-06,50,1,271.6,main
2016-01-06,100,1,271.4,main
2016-01-06,100,1,272.2,main
2016-01-06,50,1,272.2,main
2016-01-06,100,1,271.4,main
2016-01-07,100,1,260.9,main
2016-01-07,100,1,260.1,main
2016-01-07,100,1,260.9,main
2016-01-07,100,1,261.4,main
2016-01-07,100,1,261.4,main
2016-01-07,100,1,261.7,main
