date,field_size,entry_fee,cash_line,slate
2016-02-11,8522,2,259.3,main
2016-02-05,22727,2,263.6,main
2016-02-04,22727,2,286.8,main
2016-02-03,28409,2,259.0,main
2016-02-02,22727,2,272.8,main
2016-02-01,28409,2,277.9,main
2016-01-31,22727,2,263.2,main
2016-01-30,22727,2,321.9,main
2016-01-29,28409,2,287.8,main
2016-01-28,19886,2,317.7,main
2016-01-27,25568,2,281.3,main
2016-01-26,22727,2,307.1,main
2016-01-25,28409,2,276.0,main
2016-01-24,8522,2,285.4,main
2016-01-23,17045,2,307.3,main
2016-01-22,25568,2,283.0,main
