id,age,category_id,college,depth_position,depth_rank,dob,espn_id,experience,first_name,height,is_active,is_rookie,last_name,league_id,name,number,position,position_group,race,role_id,slug,sports_reference_id,team_id,url,weight,yahoo_id,ast,ast_pct,blk,blk_pct,date,draft_kings_fp,draft_kings_ratio,draft_kings_salary,draft_street_daily_fp,draft_street_daily_ratio,draft_street_daily_salary,draftday_fp,draftday_ratio,draftday_salary,draftster_fp,draftster_ratio,draftster_salary,dreb,dreb_pct,drtg,efg,fanduel_fp,fanduel_ratio,fanduel_salary,fantasy_aces_fp,fantasy_aces_ratio,fantasy_aces_salary,fantasy_feud_fp,fantasy_feud_ratio,fantasy_feud_salary,fantasy_score_fp,fantasy_score_ratio,fantasy_score_salary,fanthrowdown_fp,fanthrowdown_ratio,fanthrowdown_salary,fga,fgm,fta,ftm,game_play_probability,game_start,minutes,nba_game_id,nba_team_id,nerd,opponent_id,oreb,oreb_pct,ortg,p3a,p3m,pf,pts,season,star_street_fp,star_street_ratio,star_street_salary,stl,stl_pct,tov,tov_pct,treb,treb_pct,ts,usg,yahoo_fp,yahoo_ratio,yahoo_salary
1,22,0,,SG,3,1989-03-25,4242,1,James,78,True,False,Anderson,0,James Anderson,25,GF,2,4,0,james-anderson,anderja01,26,,215,4751,0.2,0.09300000000000001,0.0,0.009000000000000001,2015-11-21,2.73,0.91,3000,2.08,0.0,0,2.63,0.53,5000,2.5,0.83,3000,0.5,0.12300000000000001,107.7,0.682,2.44,0.7,3500,2.48,0.71,3500,2.08,0.08,25000,2.63,1.2,2200,2.58,0.0,0,1.1,0.5,0.2,0.0,0.26,0.05,3.5,19577,26,-0.6,22,0.2,0.055,99.6,0.5,0.2,0.3,1.4,2016,2.43,0.0,0,0.1,0.013999999999999999,0.3,0.15,0.7,0.08800000000000001,0.589,17.8,2.54,2.54,10
3,22,0,,PF,4,1989-04-22,3965,2,DeJuan,80,True,False,Blair,3028,DeJuan Blair,45,FC,2,4,0,dejuan-blair,blairde01,30,,270,4642,0.0,0.086,0.0,0.018000000000000002,2015-11-21,0.0,0.0,3000,0.0,0.0,0,0.0,0.0,5000,0.0,0.0,3000,0.0,0.205,107.0,0.0,0.0,0.0,3500,0.0,0.0,3000,0.0,0.0,25000,0.0,0.0,2200,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01,0.0,0.1,19580,30,-0.08,8,0.0,0.13,76.1,0.0,0.0,0.0,0.0,2016,0.0,0.0,0,0.0,0.013000000000000001,0.0,0.17600000000000002,0.0,0.16899999999999998,0.0,20.7,0.0,0.0,10
4,31,0,,C,3,1980-04-05,1996,7,Matt,82,True,False,Bonner,2394,Matt Bonner,15,FC,2,1,0,matt-bonner,bonnema01,27,,235,3748,0.0,0.023,0.0,0.011000000000000001,2015-11-21,0.78,0.26,3000,0.53,0.0,0,0.75,0.15,5000,0.7,0.23,3000,0.2,0.281,99.5,0.667,0.66,0.19,3500,0.68,0.23,3000,0.53,0.02,25000,0.73,0.33,2200,0.73,0.0,0,0.3,0.1,0.1,0.0,0.14,0.01,1.4,19583,27,-0.26,14,0.1,0.038,89.5,0.2,0.1,0.1,0.4,2016,0.68,0.0,0,0.0,0.009000000000000001,0.1,0.12,0.3,0.166,0.581,17.6,0.71,0.71,10
6,35,0,,C,1,1976-04-25,215,14,Tim,83,True,False,Duncan,1784,Tim Duncan,21,FC,2,4,0,tim-duncan,duncati01,27,,255,3173,2.2,0.14300000000000002,1.6,0.046,2015-11-21,30.0,4.76,6300,25.9,0.0,0,28.38,2.23,12700,29.03,3.77,7700,6.1,0.257,96.3,0.474,28.74,4.05,7100,29.15,5.21,5600,25.9,0.23,110400,30.0,4.84,6200,29.15,0.0,0,10.5,5.0,4.5,3.5,1.0,1.0,27.6,19583,27,5.58,14,2.1,0.086,104.9,0.1,0.0,2.4,12.9,2016,28.6,0.0,0,0.6,0.012,1.7,0.114,8.2,0.17,0.514,23.9,28.74,11.98,24
7,34,0,,SG,2,1977-07-28,272,9,Manu,78,True,False,Ginobili,2040,Manu Ginobili,20,GF,2,3,0,manu-ginobili,ginobma01,27,,205,3380,0.0,0.0,0.0,0.0,2015-11-21,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,4900,0.0,0.0,4350,0.0,0.0,79000,0.0,0.0,4200,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19583,27,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
8,24,0,,SG,1,1987-06-22,3988,2,Danny,78,True,False,Green,3051,Danny Green,4,GF,2,5,0,danny-green,greenda02,27,,210,4651,2.1,0.115,0.6,0.013999999999999999,2015-11-21,22.35,5.2,4300,18.4,0.0,0,21.78,2.64,8250,20.8,4.24,4900,4.1,0.163,100.9,0.712,20.81,4.95,4200,21.05,4.95,4250,18.4,0.31,58700,21.6,4.8,4500,21.8,0.0,0,8.5,3.7,1.7,1.2,1.0,1.0,29.5,19583,27,3.76,14,0.7,0.028999999999999998,108.1,4.7,1.5,1.9,10.0,2016,20.53,0.0,0,0.9,0.018000000000000002,1.1,0.099,4.8,0.096,0.541,17.1,21.56,13.48,16
10,31,0,,SF,1,1980-06-21,1006,10,Richard,79,True,False,Jefferson,2166,Richard Jefferson,24,GF,2,4,0,richard-jefferson,jefferi01,5,,230,3523,0.9,0.059000000000000004,0.3,0.009000000000000001,2015-11-21,14.55,4.69,3100,11.55,0.0,0,14.15,2.83,5000,13.53,4.1,3300,2.3,0.107,108.3,0.662,13.41,3.83,3500,13.55,3.66,3700,11.55,0.31,36900,13.95,6.34,2200,14.15,0.0,0,6.1,2.6,1.1,0.6,1.0,1.0,23.3,19579,5,-2.32,1,0.5,0.019,105.0,2.9,1.2,2.2,7.3,2016,13.33,0.0,0,0.8,0.02,0.8,0.124,2.8,0.062,0.553,14.4,14.01,14.01,10
12,20,0,,SF,1,1991-06-29,6450,0,Kawhi,79,True,False,Leonard,3195,Kawhi Leonard,2,GF,2,5,0,kawhi-leonard,leonaka01,27,,225,4896,3.0,0.16899999999999998,0.8,0.017,2015-11-21,35.8,4.42,8100,29.6,0.0,0,34.43,2.24,15400,33.75,4.22,8000,5.3,0.16399999999999998,100.3,0.594,33.72,3.92,8600,34.05,5.4,6300,29.6,0.22,134500,34.95,4.37,8000,34.9,0.0,0,14.9,6.7,4.4,3.7,1.0,1.0,35.0,19583,27,5.66,14,1.3,0.044000000000000004,106.4,4.3,1.7,2.6,18.3,2016,33.3,0.0,0,1.6,0.025,1.8,0.09699999999999999,6.6,0.105,0.543,24.8,34.57,8.86,39
14,27,0,,SG,2,1984-11-03,4300,1,Gary,76,True,False,Neal,3170,Gary Neal,14,G,3,5,0,gary-neal,nealga01,30,,210,4796,1.2,0.11699999999999999,0.2,0.006999999999999999,2015-11-21,14.05,4.26,3300,10.9,0.0,0,13.28,2.44,5450,13.13,3.28,4000,1.7,0.105,108.8,0.539,13.04,3.73,3500,13.15,3.76,3500,10.9,0.24,45300,13.7,6.23,2200,13.5,0.0,0,7.7,3.2,1.4,1.4,1.0,1.0,18.2,19580,30,-6.53,8,0.5,0.034,93.0,1.8,0.7,1.4,8.3,2016,12.85,0.0,0,0.5,0.013999999999999999,1.1,0.133,2.2,0.068,0.496,23.3,13.39,13.39,10
15,29,0,,PG,1,1982-05-17,1015,10,Tony,74,True,False,Parker,2181,Tony Parker,9,PG,3,5,0,tony-parker,parketo01,27,,185,3527,5.0,0.298,0.1,0.003,2015-11-21,25.93,5.52,4700,20.83,0.0,0,24.4,2.55,9550,23.78,4.49,5300,2.5,0.087,103.7,0.5,24.22,4.66,5200,24.38,5.42,4500,20.83,0.26,79300,25.68,4.43,5800,24.63,0.0,0,11.4,5.0,3.9,3.2,1.0,1.0,30.0,19583,27,1.46,14,0.6,0.019,105.0,1.6,0.5,1.9,14.0,2016,23.13,0.0,0,0.7,0.012,2.6,0.159,3.1,0.054000000000000006,0.532,24.0,24.47,15.29,16
16,26,0,,C,2,1985-01-01,3233,1,Tiago,83,True,False,Splitter,2508,Tiago Splitter,22,C,1,6,0,tiago-splitter,splitti01,1,,240,4306,1.1,0.083,0.7,0.023,2015-11-21,17.23,5.74,3000,14.83,0.0,0,16.33,2.46,6650,16.68,4.51,3700,3.0,0.172,107.4,0.509,16.49,4.71,3500,16.73,4.4,3800,14.83,0.4,36900,17.18,5.37,3200,16.78,0.0,0,6.3,3.0,2.2,1.7,0.93,0.25,19.8,19579,1,1.2,5,1.7,0.09699999999999999,111.6,0.4,0.1,2.2,7.9,2016,16.45,0.0,0,0.4,0.013000000000000001,0.9,0.102,4.7,0.13699999999999998,0.547,17.7,16.54,16.54,10
18,26,0,,SF,1,1985-06-30,2426,7,Trevor,80,True,False,Ariza,2461,Trevor Ariza,1,GF,2,4,0,trevor-ariza,arizatr01,10,,210,0,2.4,0.11800000000000001,0.3,0.006999999999999999,2015-11-21,26.03,4.65,5600,20.83,0.0,0,25.3,2.31,10950,24.05,4.72,5100,3.6,0.128,104.1,0.742,24.04,4.01,6000,24.28,5.28,4600,20.83,0.24,88600,25.03,4.55,5500,25.28,0.0,0,10.5,4.2,2.7,2.1,1.0,1.0,35.6,19582,10,2.71,20,1.1,0.037000000000000005,109.0,6.8,2.0,2.8,12.5,2016,23.68,0.0,0,1.6,0.027000000000000003,1.5,0.12,4.7,0.083,0.537,17.1,25.04,10.02,25
19,25,0,,SG,2,1986-03-25,3190,4,Marco,77,True,False,Belinelli,2826,Marco Belinelli,8,GF,2,1,0,marco-belinelli,belinma01,26,,200,4296,2.6,0.158,0.1,0.003,2015-11-21,19.73,4.81,4100,15.53,0.0,0,19.05,2.66,7150,18.0,4.19,4300,1.9,0.081,111.1,0.649,18.16,4.78,3800,18.28,4.57,4000,15.53,0.27,57600,19.03,6.8,2800,18.98,0.0,0,9.1,4.0,3.0,2.6,0.99,0.52,25.2,19577,26,-1.65,22,0.4,0.017,108.0,3.9,1.4,1.4,11.4,2016,17.63,0.0,0,0.7,0.015,1.5,0.128,2.3,0.049,0.55,20.0,18.86,15.72,12
24,25,0,,PF,3,1986-03-02,3232,4,Jason,84,True,False,Smith,2837,Jason Smith,14,FC,2,1,0,jason-smith,smithja02,22,,240,4298,0.2,0.06,0.1,0.025,2015-11-21,3.5,1.17,3000,2.85,0.0,0,3.25,0.64,5100,3.38,1.13,3000,0.7,0.16,107.5,0.5,3.3,0.92,3600,3.35,0.91,3700,2.85,0.06,46300,3.5,0.92,3800,3.35,0.0,0,1.5,0.7,0.3,0.1,0.3,0.02,4.3,19577,22,-0.63,26,0.3,0.078,100.6,0.1,0.0,0.6,1.7,2016,3.3,0.0,0,0.1,0.008,0.3,0.14300000000000002,1.0,0.12,0.521,18.2,3.3,3.3,10
25,29,0,,SF,2,1982-01-11,2367,7,Tony,76,True,False,Allen,2525,Tony Allen,9,GF,2,4,0,tony-allen,allento01,14,,213,3842,1.4,0.098,0.5,0.016,2015-11-21,16.75,4.53,3700,13.9,0.0,0,15.9,2.24,7100,15.93,4.31,3700,2.8,0.142,106.4,0.507,15.8,3.76,4200,16.0,4.0,4000,13.9,0.28,50100,16.55,5.02,3300,16.2,0.0,0,6.0,2.5,1.4,0.7,0.99,0.68,23.3,19583,14,-0.94,27,1.2,0.057,105.8,1.1,0.4,2.1,6.6,2016,15.65,0.0,0,1.2,0.027000000000000003,1.1,0.127,4.0,0.099,0.493,15.5,16.0,12.31,13
27,24,0,,PG,1,1987-10-11,3195,4,Mike,73,True,False,Conley,2813,Mike Conley,11,PG,3,4,0,mike-conley,conlemi01,14,,185,4246,6.1,0.31,0.1,0.002,2015-11-21,32.45,5.15,6300,26.6,0.0,0,31.2,2.5,12500,29.63,4.94,6000,3.0,0.10400000000000001,111.1,0.604,30.41,4.54,6700,30.6,6.12,5000,26.6,0.28,95000,31.7,5.11,6200,31.35,0.0,0,13.4,6.1,3.8,3.1,1.0,1.0,34.8,19583,14,0.59,27,0.8,0.026000000000000002,110.0,4.0,1.5,2.1,16.3,2016,29.08,0.0,0,1.2,0.018000000000000002,2.2,0.126,3.8,0.064,0.541,23.8,31.16,11.54,27
28,26,0,,C,1,1985-01-29,3206,3,Marc,85,True,False,Gasol,2831,Marc Gasol,33,C,1,1,0,marc-gasol,gasolma01,14,,265,4325,3.0,0.166,1.3,0.031,2015-11-21,35.8,5.11,7000,31.1,0.0,0,33.98,2.43,14000,34.55,4.61,7500,7.4,0.22699999999999998,100.9,0.473,34.4,4.59,7500,34.85,6.22,5600,31.1,0.3,102200,35.75,4.83,7400,34.9,0.0,0,13.6,6.7,3.9,3.3,1.0,1.0,36.4,19583,14,4.15,27,1.6,0.055999999999999994,105.4,0.2,0.1,2.8,16.7,2016,34.1,0.0,0,0.8,0.013000000000000001,1.8,0.105,9.0,0.14,0.523,23.3,34.45,10.77,32
29,25,0,,SF,1,1986-08-17,3005,5,Rudy,80,True,False,Gay,2691,Rudy Gay,22,F,2,4,0,rudy-gay,gayru01,26,,230,4136,0.0,0.172,0.0,0.012,2015-11-21,0.0,0.0,7000,0.0,0.0,0,0.0,0.0,13400,0.0,0.0,7700,0.0,0.138,104.0,0.542,0.0,0.0,7500,0.0,0.0,5700,0.0,0.0,107400,0.0,0.0,7300,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19577,26,0.0,22,0.0,0.053,105.4,0.0,0.0,0.0,0.0,2016,0.0,0.0,0,0.0,0.023,0.0,0.11900000000000001,0.0,0.095,0.534,26.8,0.0,0.0,32
32,24,0,,SG,2,1987-11-05,3450,3,O.J.,76,True,False,Mayo,2922,O.J. Mayo,32,G,3,4,0,oj-mayo,mayooj01,16,,210,4389,1.6,0.187,0.1,0.006,2015-11-21,11.9,3.13,3800,9.55,0.0,0,11.6,2.32,5000,10.85,3.39,3200,1.4,0.102,106.4,0.688,10.96,2.96,3700,11.05,2.91,3800,9.55,0.17,55900,11.45,3.47,3300,11.5,0.0,0,5.0,2.3,1.1,0.8,0.99,0.44,15.2,19578,16,0.9,11,0.4,0.018000000000000002,110.1,2.3,0.9,1.2,6.0,2016,10.65,0.0,0,0.5,0.024,0.8,0.124,1.8,0.061,0.553,18.2,11.41,6.71,17
33,30,0,,PF,1,1981-07-16,1017,10,Zach,81,True,False,Randolph,2172,Zach Randolph,50,FC,2,4,0,zach-randolph,randoza01,14,,260,3531,0.0,0.0,0.0,0.0,2015-11-21,0.0,0.0,6200,0.0,0.0,0,0.0,0.0,12750,0.0,0.0,6500,0.0,0.0,0.0,0.0,0.0,0.0,6900,0.0,0.0,5550,0.0,0.0,95700,0.0,0.0,7100,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19583,14,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
36,24,0,,SG,2,1987-01-16,4291,1,Greivis,78,True,False,Vasquez,3145,Greivis Vasquez,21,G,3,3,0,greivis-vasquez,vasqugr01,16,,211,4759,2.8,0.289,0.1,0.003,2015-11-21,13.15,3.55,3700,10.2,0.0,0,12.45,1.59,7850,11.83,2.89,4100,1.4,0.084,107.0,0.565,12.12,3.03,4000,12.2,3.13,3900,10.2,0.19,55100,12.85,4.28,3000,12.5,0.0,0,5.9,2.1,1.3,1.1,0.99,0.35,16.0,19578,16,-6.77,11,0.2,0.013000000000000001,87.8,2.3,0.6,1.2,5.9,2016,11.5,0.0,0,0.6,0.018000000000000002,1.3,0.154,1.6,0.048,0.459,21.3,12.42,11.29,11
39,23,0,,SF,2,1988-05-22,3968,2,Chase,79,True,False,Budinger,2925,Chase Budinger,10,GF,2,3,0,chase-budinger,budinch01,11,,218,0,0.2,0.087,0.1,0.009000000000000001,2015-11-21,2.8,0.85,3300,2.25,0.0,0,2.65,0.48,5500,2.65,0.88,3000,0.5,0.11199999999999999,105.8,0.636,2.62,0.71,3700,2.65,0.74,3600,2.25,0.05,49500,2.75,0.92,3000,2.7,0.0,0,1.2,0.5,0.3,0.2,0.96,0.26,4.4,19578,11,-0.52,16,0.1,0.038,100.3,0.4,0.1,0.4,1.4,2016,2.6,0.0,0,0.1,0.017,0.2,0.121,0.6,0.07400000000000001,0.548,15.3,2.67,2.67,10
41,25,0,,PG,1,1986-05-06,3423,3,Goran,75,True,False,Dragic,2955,Goran Dragic,3,G,3,1,0,goran-dragic,dragigo01,15,,190,0,5.2,0.275,0.2,0.005,2015-11-21,29.05,5.59,5200,23.8,0.0,0,27.75,2.86,9700,26.68,4.6,5800,3.0,0.095,100.5,0.576,27.22,4.86,5600,27.4,5.71,4800,23.8,0.34,70900,28.55,5.19,5500,27.9,0.0,0,11.2,4.9,4.0,3.1,1.0,1.0,33.4,19581,15,4.9,23,0.6,0.02,107.3,3.1,1.0,2.1,14.4,2016,26.1,0.0,0,1.3,0.02,2.3,0.156,3.6,0.057,0.556,20.4,27.72,11.55,24
43,24,0,,PF,2,1987-07-27,3994,2,Jordan,82,True,False,Hill,3017,Jordan Hill,27,FC,2,5,0,jordan-hill,hilljo01,11,,235,0,1.1,0.08900000000000001,1.1,0.035,2015-11-21,20.85,4.53,4600,17.8,0.0,0,19.63,2.18,9000,20.28,3.69,5500,4.1,0.204,98.7,0.453,19.93,4.15,4800,20.25,4.94,4100,17.8,0.24,73600,20.85,4.63,4500,20.25,0.0,0,7.7,3.5,2.3,1.6,0.99,0.76,21.9,19578,11,-1.32,16,2.3,0.109,95.9,0.1,0.0,1.9,8.6,2016,19.98,0.0,0,0.5,0.01,1.2,0.11599999999999999,6.4,0.156,0.485,20.2,19.93,14.24,14
