,champs,date,drtg,drtg_cdf,losses,nba_team_id,nerd,nerd_cdf,ortg,ortg_cdf,ovr_rank,pace,pace_cdf,playoffs,proj_l,proj_w,ptdiff,sd_differential,season,wins,abbrev,city,conference,division,espn_id,id,is_active,league_id,name,short,slug
1,4.9,2015-11-21,102.9,0.412,5,1,58.1,0.669,105.3,0.655,11,96.6,0.492,93.8,34.8,47.2,2.2,9.06,2016,9,ATL,Atlanta ,E,SE,1,1,1,0,Atlanta Hawks,Atlanta,atlanta-hawks
2,1.0,2015-11-21,97.6,0.061,5,2,60.9,0.819,104.9,0.615,8,99.1,0.864,71.5,38.9,43.1,4.8,13.12,2016,7,BOS,Boston ,E,A,2,2,1,0,Boston Celtics,Boston,boston-celtics
4,3.4,2015-11-21,100.3,0.192,4,4,52.5,0.545,101.4,0.264,15,97.5,0.649,88.6,36.2,45.8,0.4,12.55,2016,8,CHI,Chicago ,E,C,4,4,1,0,Chicago Bulls,Chicago,chicago-bulls
5,19.5,2015-11-21,101.5,0.284,3,5,71.5,0.881,108.7,0.902,3,93.6,0.087,99.4,30.5,51.5,6.3,9.32,2016,9,CLE,Cleveland ,E,C,5,5,1,0,Cleveland Cavaliers,Cleveland,cleveland-cavaliers
6,3.4,2015-11-21,101.6,0.292,4,6,56.5,0.701,103.8,0.501,12,97.6,0.665,94.5,34.9,47.1,2.7,11.6,2016,9,DAL,Dallas ,W,SW,6,6,1,0,Dallas Mavericks,Dallas,dallas-mavericks
7,0.0,2015-11-21,107.6,0.829,7,7,39.7,0.295,103.8,0.501,22,96.6,0.492,12.3,46.2,35.8,-3.1,15.03,2016,6,DEN,Denver ,W,NW,7,7,1,0,Denver Nuggets,Denver,denver-nuggets
8,0.5,2015-11-21,99.6,0.148,5,8,52.9,0.589,100.3,0.179,13,96.0,0.387,60.4,40.1,41.9,1.1,10.64,2016,7,DET,Detroit ,E,C,8,8,1,0,Detroit Pistons,Detroit,detroit-pistons
9,32.8,2015-11-21,99.7,0.154,0,9,93.3,0.987,114.2,0.997,1,99.3,0.882,100.0,24.4,57.6,12.1,11.21,2016,14,GS,Golden State,W,P,9,9,1,0,Golden State Warriors,Golden State,golden-state-warriors
10,1.0,2015-11-21,107.0,0.788,8,10,27.9,0.105,99.9,0.153,25,98.6,0.809,63.0,40.2,41.8,-7.1,10.67,2016,5,HOU,Houston ,W,SW,10,10,1,0,Houston Rockets,Houston,houston-rockets
11,0.2,2015-11-21,99.0,0.116,5,11,52.6,0.649,101.6,0.282,14,96.1,0.404,57.4,40.5,41.5,1.9,12.45,2016,7,IND,Indiana ,E,C,11,11,1,0,Indiana Pacers,Indiana,indiana-pacers
