Date,Slate,Games,Site
2015-12-12,main,BOS@CHA/IND@DET/SAS@ATL/NOP@CHI/LAL@HOU/WAS@DAL/GSW@MIL/NYK@POR,FD
2015-12-13,allday,MIN@PHX/MEM@MIA/PHI@TOR/UTA@OKC,FD
2015-12-13,main,MEM@MIA/PHI@TOR/UTA@OKC,FD
2015-12-14,main,TOR@IND/LAC@DET/ORL@BKN/MIA@ATL/PHI@CHI/WAS@MEM/PHX@DAL/UTA@SAS/HOU@DEN/NOP@POR,FD
2015-12-15,main,CLE@BOS/DEN@MIN/HOU@SAC/MIL@LAL,FD
2015-12-16,main,DAL@IND/CHA@ORL/BOS@DET/MIA@BKN/MIN@NYK/PHI@ATL/MEM@CHI/POR@OKC/WAS@SAS/NOP@UTA/PHX@GSW/MIL@LAC,FD
2015-12-17,main,TOR@CHA/OKC@CLE/HOU@LAL,FD
2015-12-18,main,BKN@IND/POR@ORL/NYK@PHI/ATL@BOS/TOR@MIA/DET@CHI/SAC@MIN/LAC@SAS/MEM@DAL/DEN@UTA/MIL@GSW/NOP@PHX,FD
2015-12-19,main,CHA@WAS/CHI@NYK/LAC@HOU/IND@MEM,FD
2015-12-20,early,POR@MIA/MIN@BKN/PHI@CLE/MIL@PHX,FD
2015-12-20,main,ATL@ORL/SAC@TOR/NOP@DEN,FD
2015-12-21,main,POR@ATL/BKN@CHI/CHA@HOU/IND@SAS/SAC@WAS/MIN@BOS/ORL@NYK/OKC@LAC/PHX@UTA,FD
2015-12-21,express,POR@ATL/BKN@CHI/CHA@HOU/IND@SAS,FD
2015-12-22,main,MEM@PHI/DET@MIA/DAL@TOR/LAL@DEN,FD
2015-12-23,main,NYK@CLE/SAC@IND/HOU@ORL/MEM@WAS/BOS@CHA/DAL@BKN/DET@ATL/POR@NOP/PHI@MIL/SAS@MIN/DEN@PHX/UTA@GSW/OKC@LAL,FD
2015-12-25,main,NOP@MIA/CHI@OKC/CLE@GSW/SAS@HOU/LAC@LAL,FD
2015-12-26,early,WAS@BKN/TOR@MIL/HOU@NOP/MIA@ORL/MEM@CHA,FD
2015-12-26,main,HOU@NOP/MIA@ORL/MEM@CHA/NYK@ATL/BOS@DET/IND@MIN/CHI@DAL/DEN@SAS/PHI@PHX/LAC@UTA/CLE@POR,FD
2015-12-27,main,LAL@MEM/NYK@BOS/DEN@OKC/POR@SAC,FD
2015-12-28,late,CLE@PHX/PHI@UTA/SAC@GSW,FD
2015-12-28,express,TOR@CHI/MIL@DAL/MIN@SAS,FD
2015-12-28,main,ATL@IND/NOP@ORL/LAC@WAS/LAL@CHA/BKN@MIA/TOR@CHI/MIL@DAL/MIN@SAS/CLE@PHX/PHI@UTA/SAC@GSW,FD
2015-12-30,main,BKN@ORL/LAC@CHA/LAL@BOS/WAS@TOR/IND@CHI/UTA@MIN/GSW@DAL/PHX@SAS/DEN@POR/PHI@SAC,FD
2015-12-31,main,MIN@DET/MIL@IND/GSW@HOU/LAC@NOP/PHX@OKC/POR@UTA,FD
2016-01-01,main,ORL@WAS/DAL@MIA/CHA@TOR/NYK@CHI/PHI@LAL,FD
2016-01-02,main,DET@IND/OKC@CHA/ORL@CLE/MIL@MIN/NOP@DAL/HOU@SAS/MEM@UTA/DEN@GSW/PHI@LAC,FD
2016-01-03,early,POR@DEN/PHX@LAL,FD
2016-01-03,main,MIA@WAS/POR@DEN/PHX@LAL,FD
2016-01-04,main,TOR@CLE/MIN@PHI/ORL@DET/IND@MIA/BOS@BKN/SAS@MIL/SAC@OKC/HOU@UTA/MEM@POR/CHA@GSW,FD
2016-01-05,main,NYK@ATL/MIL@CHI/SAC@DAL/GSW@LAL,FD
